,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,German,Spanish,French,Demographic,Genre,Theme,Demographics
136,キス×シス,,['OVA'],12,Finished Airing,"Dec 22, 2008 to Apr 6, 2015",,,"None found,",['Discotek Media'],['feel.'],['Manga'],"['Comedy', 'Romance', 'Ecchi']","['Harem', 'School']",24 min. per ep.,R+ - Mild Nudity,6.79,#5365,#750,"340,995","1,322",189317,"When Keita Suminoe's father remarried, not only did he gain a new mother, but elder twin sisters as well. Distinct yet similar, the homely and mature Ako is a former student council president, while the athletic and aloof Riko is the previous disciplinary president. The three of them have been together since kindergarten, resulting in a deep bond between the siblings. However, over time, their relationship developed into something more romantic—and erotic . Now in his last year of middle school, Keita has already received a sports recommendation, but it's from a different high school than his two sisters. Disappointed, both sisters try to change his mind, and he agrees, giving in to their desperate pleas. Unaware of the consequences, he now has to attempt to study for his high school exams while warding off the advances of his lust-driven sisters. With their parent's blessings, Ako and Riko strive to be Keita's future wife, leaving him to try his best to keep the relationship between them strictly platonic. However, with two beautiful girls vying for his attention, will Keita be able to withstand the endless temptations? [Written by MAL Rewrite]","['Adaptation (Manga) Kiss x Sis', '']",Kiss x Sis,Kissxsis,,,,['Seinen'],,,
137,学園黙示録 HIGHSCHOOL OF THE DEAD ドリフターズ・オブ・ザ・デッド,High School of the Dead: Drifters of the Dead,['OVA'],1,Finished Airing,"Apr 26, 2011",,,['Showgate'],['Sentai Filmworks'],['Madhouse'],['Manga'],"['Comedy', 'Supernatural', 'Ecchi']",,16 min.,R+ - Mild Nudity,6.62,#6397,#818,"315,472",401,194216,"After escaping the zombie-infested mainland, Takashi Komuro and the gang find themselves on a remote island off the coast of Tokonosu City. While scavenging around the island for supplies, they encounter a small seaside shack that provides them with clothing and a place to rest for the night. After a day's work of collecting food, they begin to cook what they have gathered. As they wait beside the campfire, a light haze begins to form around them and makes them nauseous. Confirming it to be caused by hydrangeas—a type of poisonous plant that can cause hallucinations—the group attempts to escape from the powerful odor. [Written by MAL Rewrite]",[],Highschool of the Dead: Drifters of the Dead,"High School of the Dead OVA, Gakuen Mokushiroku: Highschool of the Dead, HOTD, HSOTD, Drifters of the Dead",,,,['Shounen'],,,
138,BLACK LAGOON Roberta's Blood Trail,Black Lagoon: Roberta's Blood Trail,['OVA'],5,Finished Airing,"Jun 27, 2010 to Jun 22, 2011",,,"['Shogakukan-Shueisha Productions', 'NBCUniversal Entertainment Japan']",['Funimation'],['Madhouse'],['Manga'],,"['Adult Cast', 'Organized Crime']",33 min. per ep.,R+ - Mild Nudity,8.02,#642,#825,"313,760","1,430",177878,"Crime never sleeps in Roanapur, and neither does Roberta—a devoted maid and skilled guerilla soldier in service to the Venezuelan Lovelace family. After the assassination of her superior by the US Secret Service, Roberta returns to the city of debauchery in search of vengeance and his killer's head. Meanwhile, young Fernando Garcia Lovelace, the new heir to his father's estate, tails Roberta to Thailand alongside his bodyguard, Fabiola Iglesias. He enlists the help of the Lagoon Company, with the objective of deterring Roberta's warpath and bringing her back to the family. However, with the continued bloodshed and mounting tensions between Roberta, island crime factions, and the US military, it will take a significant amount of strategy—and weaponry—to stop her relentless quest for revenge. [Written by MAL Rewrite]","['Prequel (TV) Black Lagoon: The Second Barrage', 'Adaptation (Manga) Black Lagoon']",Black Lagoon: Roberta's Blood Trail,Black Lagoon 3,,Black Lagoon: Roberta´s Blood Trail,Black Lagoon : Roberta's Blood Trail,['Seinen'],['Action'],,
139,フェアリーテイル OVA,,['OVA'],5,Finished Airing,"Apr 15, 2011 to Jun 17, 2013",,,"None found,","None found,","['Satelight', 'A-1 Pictures']",['Manga'],"['Comedy', 'Fantasy', 'Ecchi']",,27 min. per ep.,PG-13 - Teens 13 or older,7.46,#2109,#1492,"169,918",437,96003,"When the members of Fairy Tail are not destroying towns or defeating powerful foes, they are attending school, traveling back in time, visiting water parks, and taking on odd jobs from strange clients. No matter where they go, a fun adventure always awaits, sometimes in the most unexpected form! [Written by MAL Rewrite]","['Adaptation (Manga) Fairy Tail', '']",Fairy Tail OVA,"Fairy Tail: Youkoso Fairy Hills!, Yousei Gakuen: Yankee-kun to Yankee-chan",,,,['Shounen'],,,
140,これはゾンビですか? OVA,Is This a Zombie? OVA,['OVA'],2,Finished Airing,"Jun 10, 2011 to Apr 24, 2012",,,"None found,",['Funimation'],['Studio Deen'],['Light novel'],"['Action', 'Comedy', 'Supernatural', 'Ecchi']","['Harem', 'Vampire']",24 min. per ep.,PG-13 - Teens 13 or older,7.36,#2514,#1778,"135,568",78,74621,Two OVAs released with the 8th and 10th volumes of the original novel. They fall chronologically between the first and second seasons.,"['Prequel (TV) Kore wa Zombie desu ka?', 'Sequel (TV) Kore wa Zombie desu ka? of the Dead', 'Adaptation (Manga) Kore wa Zombie desu ka?', 'Adaptation (Manga) Kore wa Zombie desu ka? Hai, Anata no Yome desu']",Kore wa Zombie desu ka? OVA,"Kore wa Zombie desu ka? Episode 13, Koreha Zombie desuka? OVA, Kore ha Zombie desu ka? OVA, Kore wa Zombie Desu ka? of the Dead Episode 0, Ee, Kore ga Saishuukai sesuka?, Hai, Encore Arigatou Gozaimasu",,,,,,,
141,生徒会役員共 OAD,,['OVA'],8,Finished Airing,"Apr 15, 2011 to Oct 17, 2013",,,['Starchild Records'],"None found,",['GoHands'],['4-koma manga'],,"['Gag Humor', 'School']",26 min. per ep.,R - 17+ (violence & profanity),7.75,#1156,#1809,"132,799",122,69953,It is the start of Takatoshi Tsuda's second year as the put-upon vice president of the student council and his sister Kotomi is entering school as a first year. New friends and double entendres are made. (Source: ANN),"['Prequel (TV) Seitokai Yakuindomo', 'Sequel (TV) Seitokai Yakuindomo*', 'Adaptation (Manga) Seitokai Yakuindomo', '']",Seitokai Yakuindomo OVA,"Seitokai Yakuindomo (2011), Seitokai Yakuindomo (2012), Seitokai Yakuindomo OAD, SYD OVA, SYD OAD",,,,['Shounen'],['Comedy'],,
142,機動戦士ガンダムUC（ユニコーン）,Mobile Suit Gundam Unicorn,['OVA'],7,Finished Airing,"Mar 12, 2010 to Jun 6, 2014",,,"['Bandai Visual', 'Kadokawa Shoten']","['Nozomi Entertainment', 'Bandai Entertainment', 'NYAV Post']",['Sunrise'],Novel,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military', 'Space']",1 hr. 2 min. per ep.,PG-13 - Teens 13 or older,8.09,#541,#2185,"102,714","1,639",52460,"In the year Universal Century 0096, three years after Char Aznable's failed attempt to force human migration into space, life continues in the colonies orbiting Earth. One such colony, at Side 4, is home to Banagher Links, a 16-year-old who lives a quiet life among his classmates. Audrey Burne, the last descendant of a great tyrannical family, takes it upon herself to steal the key to a mysterious device known as ""Laplace's Box."" It is said that the Box has the power to shape the course of the universe, and Audrey travels to Side 4 in an attempt to take it from its current holder and keep it from the Sleeves, the surviving remnant of Char Aznable's Neo-Zeon. In her search, she stumbles across Banagher and changes his life forever. When Side 4 comes under the attack of the Sleeves and its prolific fighters Marida Cruz and Full Frontal, Banagher takes control of the newly built Gundam Unicorn to defend his friends and protect the fate of humankind. [Written by MAL Rewrite]","['Prequel (Movie) Kidou Senshi Gundam: Gyakushuu no Char', 'Sequel (Movie) Kidou Senshi Gundam F91', 'Sequel (ONA) Kidou Senshi Gundam: Twilight Axis', 'Sequel (Movie) Kidou Senshi Gundam NT']",Kidou Senshi Gundam Unicorn,Mobile Suit Gundam UC,,,,,,,
143,こえでおしごと! The ANIMATION,Koe de Oshigoto!,['OVA'],2,Finished Airing,"Nov 17, 2010 to May 11, 2011",,,['Pony Canyon'],['Media Blasters'],['Studio Gokumi'],['Manga'],"['Comedy', 'Ecchi']","['Otaku Culture', 'Showbiz']",30 min. per ep.,R+ - Mild Nudity,6.86,#5050,#2318,"93,522",129,43869,"Being asked to work as a voice actress at a game company might not be so bad, unless you are Kanna Aoyagi. On her 16th birthday, her older sister Yayoi guilts Kanna into doing voice work for her at Blue March, a game company that specializes in eroge: erotic games with lots of sexual content. Sweet and innocent, Kanna has no idea how she can possibly succeed at such an occupation when she has no sexual experience. But as she plays eroge for research, uses her vivid imagination, and receives unorthodox help from her coworkers, Kanna slowly becomes more comfortable with her new, embarrassing profession. [Written by MAL Rewrite]","['Adaptation (Manga) Koe de Oshigoto!', '']",Koe de Oshigoto! The Animation,Working with Voice!,,,,['Seinen'],,,
144,エア・ギア 黒の羽と眠りの森 -Break on the Sky-,,['OVA'],3,Finished Airing,"Nov 17, 2010 to Jun 17, 2011",,,"None found,","None found,",['Satelight'],['Manga'],"['Comedy', 'Sports', 'Ecchi']","['Delinquents', 'School']",27 min. per ep.,R+ - Mild Nudity,7.56,#1701,#2822,"67,552",145,33287,First episode is based on the 16th volume of the manga. Features Ikki vs. Ringo. Second episode is based on the 23rd/24th volume of the manga. Features Kogarasumaru vs. Sleeping Forest inside Inorganic Net.,"['Prequel (TV) Air Gear', 'Adaptation (Manga) Air Gear']",Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky,Air Gear OVA,,,,['Shounen'],,,
145,アマガミSS,Amagami SS Short Animations,['OVA'],6,Finished Airing,"Jun 11, 2011 to Aug 5, 2011",,,"None found,","None found,",['AIC'],Visual novel,,"['Harem', 'School']",5 min. per ep.,PG-13 - Teens 13 or older,7.21,#3319,#3001,"60,476",42,31019,"According to the official website, two-volume OVA of Amagami SS will be distributed to those who purchase all the volumes of the DVD/Blu-rays of the TV series. The first volume will carry three short episodes of Haruka, Kaoru and Sae. The second volume will contain Ai, Rihoko and Tsukasa’s episodes.",[],Amagami SS OVA,,,,,,['Romance'],,
146,あそびにいくヨ! あそびにおいで,Cat Planet Cuties: Come Drop By,['OVA'],1,Finished Airing,"Jun 15, 2011",,,"['AIC', 'Lantis', 'Media Factory', 'Pony Canyon', 'AT-X', 'KlockWorx']",['Funimation'],['AIC PLUS+'],['Light novel'],"['Comedy', 'Romance', 'Sci-Fi', 'Ecchi']",,28 min.,R+ - Mild Nudity,6.72,#5749,#3345,"49,407",51,24662,"Catian Eris is now on a mission to learn about Earth games and how they are played, but she seems to think that bets have to be placed every time. And while some bets are material items, eventually the Catians learn about betting items of clothing...","['Adaptation (Manga) Asobi ni Iku yo!', 'Adaptation (Light Novel) Asobi ni Iku yo!']",Asobi ni Iku yo!: Asobi ni Oide,"Asobi ni Ikuyo! OVA, Let's Go Play! OVA, Asobi ni Ikuyo: Bombshells from the Sky OVA, Cat Planet Cuties OVA",,,,,,['Harem'],
147,.hack//Quantum,,['OVA'],3,Finished Airing,"Jan 28, 2011 to Apr 7, 2011",,,"['Bandai Visual', 'flying DOG', 'Showgate', 'BIGLOBE']",['Funimation'],['Kinema Citrus'],Original,"['Action', 'Adventure', 'Fantasy']",,26 min. per ep.,PG-13 - Teens 13 or older,7.11,#3835,#3672,"41,830",70,20303,"Tobias, Mary, and Sakuya challenge the impregnable ""The One Sin"", but they lose their way in the maze and unintentionally trap other guild members. A mysterious cat is watching their blunder. Is it another player character or NPC?","['Adaptation (Manga) .hack//Quantum+', '']",.hack//Quantum,,,,,,,['Video Game'],
148,鬼父 Re-birth,,['OVA'],1,Finished Airing,"Apr 28, 2011",,,"None found,","None found,",['PoRO'],Visual novel,,,28 min.,Rx - Hentai,7.02,N/A,#3926,"36,451",139,18910,"Airi Akizuki loves to start the morning with sexual fulfillment. When her stepfather Kouzou Akizuki sneaks up on her in her sleep, she feels truly alive. Loaded up to the brim, Airi wakes up fresh, energetic, and ready to face the world. It is a crisp summer day when Kouzou takes his stepdaughter and her friend, Sana Kuranaka, to the cinema. However, the blissfulness of the date is jeopardized when both Kouzou and Sana fall asleep, leaving Airi alone in the dark room. She gets assaulted by one of her school teachers but has to do her best to stay quiet and not express her pleasure to avoid waking her father up. The assailant leaves his victim drenched in sweat and moaning from satisfaction, promising to return soon. To Airi's horror, she finds herself looking forward to their next meeting. [Written by MAL Rewrite]","['Prequel (OVA) Oni Chichi', 'Sequel (OVA) Oni Chichi: Re-born', 'Adaptation (Light Novel) Oni Chichi', '']",Oni Chichi: Re-birth,Oni Chichi 3,,,,,['Hentai'],,
149,かってに改蔵,,['OVA'],6,Finished Airing,"May 23, 2011 to Oct 26, 2011",,,"None found,","None found,",['Shaft'],['Manga'],"['Comedy', 'Sci-Fi']","['Parody', 'School']",23 min. per ep.,R+ - Mild Nudity,6.86,#5047,#4261,"30,634",39,10669,"Katsu Kaizou is a very gullible, 17-year-old high school student and a believer in science fiction, aliens, ghosts, UFOs, conspiracies, etc. He thinks that everything going on around him is the result of some sort of alien plot to take over the world. Each story is pretty much self-contained and is completely bizarre. Kaizou joins the school's science club, makes new friends, and ends up coming in contact with all sorts of strange things like log people, deadly sushi, pee-blades, scary infections, robot invasions, ghosts, living dolls, and more!","['Adaptation (Manga) Katte ni Kaizou', '']",Katte ni Kaizou,Katteni Kaizou,,,,['Shounen'],,,
150,テンタクル アンド ウィッチーズ,,['OVA'],4,Finished Airing,"May 27, 2011 to Nov 30, 2012",,,['Pixy'],"None found,",['Oz Inc.'],Visual novel,"['Supernatural', 'Hentai']",,27 min. per ep.,Rx - Hentai,7.09,N/A,#5278,"18,708",153,7758,"High school can be a complicated time for young men, especially for young men named Ichirou Tachibana. Ichirou knows his homeroom teacher Yuuko Morino's biggest secret: she's a witch! When fellow classmate and witch Lily Ramses Futaba catches him peaking on Yuuko, she decides it's the perfect time for her to use a new spell she's acquired and turn Ichirou into her familiar servant. Lily's planned antagonism for Ichirou goes awry when the spell turns him into some sort of twisted, purple, tentacle monster. Now he must directly acquire sexual energy from witches in order to sate the tentacle monster's lust and retain elements of his humanity. To make matters worse for the two witches, Ichirou's new form gives him the power to control them to satisfy his basest desires! The trio also find out that the spell that Lily acquired was sold to her deceptively and intentionally made to appear genuine. Amidst all the sexual misadventures in the Witches and Tentacle, they're about to discover that something far more sinister is at work, and they are but pawns within a larger game.","['Adaptation (Light Novel) Tentacle and Witches', '']",Tentacle and Witches,,,,,,,,
151,戦場のヴァルキュリア3 誰がための銃瘡,,['OVA'],2,Finished Airing,"Apr 13, 2011 to Jun 29, 2011",,,['Bridge'],"None found,",['A-1 Pictures'],Game,"['Action', 'Fantasy']",,33 min. per ep.,PG-13 - Teens 13 or older,7.26,#3059,#5635,"15,688",16,6369,"The Second Europa War is being fought between Gallia and the East Europan Imperial Alliance, and a penal military unit known as the Nameless is on the run from both superpowers. Deemed rebels by Gallia and also a priority target of the Empire, the Nameless struggle to find their place in the raging war. To make matters worse, the company's tank driver, Gusurg, abandons them to fight for the Empire. After liberating a small town from the Empire, the Nameless come across Isara Welkin, an injured tank driver from Gallia's Squad 7. Isara explains to the Nameless' leader, Kurt Irving, that her squad is retreating from a failed raid and pleads for the Nameless to save them. They now face a difficult decision: remain in hiding, or redeem themselves only to aid the nation that marked them as traitors. [Written by MAL Rewrite]",[],Senjou no Valkyria 3: Tagatame no Juusou,Valkyria Chronicles: Unrecorded Chronicles OVA,,,,,,['Military'],
