,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,French,Genres,Themes,Demographic,Spanish,Demographics
125,,鬼父2,,['OVA'],2,Finished Airing,"Oct 29, 2010 to Nov 26, 2010",,,"None found,","None found,",['PoRO'],Visual novel,['Hentai'],,28 min. per ep.,Rx - Hentai,6.64,N/A,#4535,"26,990",60,12896,"The feisty Natsume, motherly Akira, soft-spoken Fuyu, and innocent Haruka make up the Makino sisters. One week after losing his wife in an accident, the father of the household, Kenichi, starts to view his four daughters in a way that goes beyond a regular parent-child relationship. He soon becomes unable to resist their beautiful figures, and giving in to his carnal incestuous desires, he starts to have his way with them one by one. [Written by MAL Rewrite]","['Sequel (OVA) Oni Chichi 2: Revenge', 'Adaptation (Light Novel) Oni Chichi']",Oni Chichi 2,,,,,,,
126,"Queen's Blade OVA, Utsukushiki Toshi-tachi, Utsukushiki Toushi-tachi, Queen's Blade: Beautiful Fighters",クイーンズブレイド 美しき闘士たち,Queen's Blade: Beautiful Warriors,['OVA'],6,Finished Airing,"Aug 8, 2010 to Mar 14, 2011",,,"['Genco', 'Media Factory', 'AT-X', 'Hobby Japan']","['Sentai Filmworks', 'NYAV Post']",['Arms'],Other,,,28 min. per ep.,R+ - Mild Nudity,6.51,#7019,#4766,"24,005",24,8330,Queen's Blade OVA. Contains short stories from the lives of the warriors after the Queen's Blade competition.,"[""Prequel (TV) Queen's Blade: Gyokuza wo Tsugu Mono"", ""Sequel (OVA) Queen's Blade OVA"", 'Sequel (OVA) Vanquished Queens', '']",Queen's Blade: Utsukushiki Toushi-tachi,Queen's Blade: Beautiful Warriors,,"['Action', 'Adventure', 'Fantasy', 'Ecchi']",,,,
127,"Lesbian Citizen Naoko-san, Yurian Naoko-san",百合星人ナオコサン,,['OVA'],1,Finished Airing,"Dec 18, 2010",,,"None found,","None found,",['ufotable'],['Manga'],,,6 min.,PG-13 - Teens 13 or older,5.77,#11076,#5379,"17,767",8,8710,"Naoko-san is an alien from the planet Yuri, who is plotting to conquer the Earth by yurifying it. Misuzu is a junior high girl and is always troubled by Naoko-san, who lives on the roof of her house. They hear rumors that a molester is wandering around in the area, so they decide to investigate.","['Adaptation (Manga) Yuri Seijin Naoko-san', '']",Yuri Seijin Naoko-san,,,"['Comedy', 'Girls Love']",,,,
128,"Gankyou na Kanojo, Glasses Girlfriends",眼鏡なカノジョ,,['OVA'],4,Finished Airing,"Nov 25, 2010",,,"['AIC', 'Flex Comix']","None found,",['AIC Takarazuka'],['Manga'],,['School'],14 min. per ep.,PG-13 - Teens 13 or older,6.63,#6318,#5716,"15,210",11,7147,"For most people, wearing glasses is a necessity for clear sight, but for four young girls, their spectacles mean so much more. From a teenage girl wearing her glasses with pride and a top idol who uses hers to disguise herself as a regular person, to a couple whose bent frames bring them closer together, a good pair of glasses can not only open your eyes, but also open your heart.","['Adaptation (Manga) Megane na Kanojo', '']",Megane na Kanojo,,,"['Comedy', 'Romance']",,['Shounen'],,
129,Anejiru 2 The Animation,姉汁2 THE ANIMATION~白川三姉妹におまかせ~,,['OVA'],2,Finished Airing,"Nov 26, 2010 to Feb 25, 2011",,,['Pink Pineapple'],"None found,",['Office Take Off'],Visual novel,['Hentai'],,28 min. per ep.,Rx - Hentai,6.89,N/A,#5776,"14,792",63,5625,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (OVA) Ane Jiru The Animation: Shirakawa Sanshimai ni Omakase', 'Adaptation (Light Novel) Anejiru: Shirakawa Sanshimai ni Omakase']",Ane Jiru 2 The Animation: Shirakawa Sanshimai ni Omakase,,,,,,,
130,"Kaibutsu Ohjo, Monster Princess, Princess Resurrection (OVA)",怪物王女,,['OVA'],3,Finished Airing,"Dec 9, 2010 to Oct 7, 2011",,,"None found,","None found,",['Tatsunoko Production'],['Manga'],,,22 min. per ep.,R - 17+ (violence & profanity),7.02,#4297,#5980,"13,497",13,5420,"Based on a manga by Mitsunaga Yasunori, serialised in Monthly Shounen Sirius. Hiyorimi Hiro moves to a new city to live with his older sister, but dies before he can find her. He then awakens to a new life as a servant of a Princess of the Monster Realm, who just happens to be employing his sister. Monsters soon appear to attack or pester the princess since she is in line for the royal throne, and Hiro must protect her with his life (and repeated deaths). (Soure: ANN)","['Adaptation (Manga) Kaibutsu Oujo', '']",Kaibutsu Oujo (OVA),,,"['Action', 'Comedy', 'Horror', 'Supernatural']",,['Shounen'],,
131,"Mazinkaizer SKL, Mazinkaiser Skull",マジンカイザーSKL,,['OVA'],3,Finished Airing,"Nov 27, 2010 to Apr 7, 2011",,,"['Showgate', 'Dynamic Planning']",['Media Blasters'],['Actas'],['Manga'],['Action'],['Mecha'],26 min. per ep.,R - 17+ (violence & profanity),7.03,#4232,#6122,"12,694",50,6192,"Prior to the events of the anime, three factions—the Garan Army, the Kiba Army, and the Aira Army, battle for total dominance of Machine Island. The island is basically a prison, isolated from the rest of the world. The island contains a vast amount of resources, allowing the three factions to create an infinite supply of giant robots for their respective armies. The world government learns that the island's power reactor has become unstable and will explode within 66 hours, destroying all of life and Earth itself. The government sends the Death Caprice squad, composed of mercenaries Ken Kaido and Ryo Magami to solve the issue, along with their giant robot Mazinkaiser, but was that a good idea?",[],Mazinkaiser SKL,,,,,['Shounen'],,
132,Goulart Kishidan: Evoked the Beginning Black,グラール騎士団 Evoked the Beginning Black,Goulart Knights: Evoked the Beginning Black,['OVA'],1,Finished Airing,"Dec 25, 2010",,,['Lantis'],"None found,",['Studio Blanc.'],Original,,,22 min.,PG-13 - Teens 13 or older,5.67,#11513,#6294,"11,826",18,3827,"Unidentified creatures ""Archon"" suddenly appear and bring the human beings to a crisis of extinction. A special corps ""Goulart Knights"" is formed to counter attack Archon. The knights have supernatural power to generate ""Holy Grail"" from their spirits and battle against Archon.","['Sequel (OVA) Goulart Knights: Evoked the Beginning White', 'Adaptation (Manga) Goulart Knights']",Goulart Knights: Evoked the Beginning Black,,,"['Action', 'Drama', 'Fantasy']",,,,
133,"Isshoni Training 026: Bathtime with Hinako & Hiyoko, Stretch Time, Isshoni Training Ofuro: Bathtime with Hinako & Hiyoko",いっしょにとれーにんぐ026[おふろ] BATHTIME WITH HINAKO&HIYOKO,,['OVA'],1,Finished Airing,"Dec 24, 2010",,,['Primastea'],"None found,",['Studio Hibari'],Original,,,35 min.,PG-13 - Teens 13 or older,4.77,#13459,#6324,"11,684",21,5660,Viewers take an exercise in the bathtub and an after-bath stretch with Hinako and the new character Hiyoko. A microSD card containing the OVA data will be bundled with the DVD so that users can watch the anime on their cell phones. Stretch Time segment included.,[],Issho ni Training Ofuro: Bathtime with Hinako & Hiyoko,,,"['Sports', 'Ecchi']",,,,
134,,愛妻日記,,['OVA'],1,Finished Airing,"Dec 22, 2010",,,['Pink Pineapple'],"None found,",['G-Lam'],Visual novel,['Hentai'],,22 min.,Rx - Hentai,6.41,N/A,#6341,"11,598",39,4936,"Sanae is the wife that anyone would be jealous of. She is young, very sexy and gentle. However, after 4 years of marriage, her husband worries if is he good enough for his wife. For a long time he is not able to have a sex with Sanae, but she never complained about it. He starts to think of way to make his dear wife happy and finally asks for his friend to have a sex with his wife. While he's secretly watching his wife with other man, he starts to feel incredibly stimulated...","['Adaptation (Light Novel) Aisai Nikki', '']",Aisai Nikki,,,,,,,
135,,Bust to Bust－ちちはちちに－,,['OVA'],3,Finished Airing,"Oct 15, 2010 to Mar 7, 2014",,,"['MS Pictures', 'AniMan']",['Kitty Media'],"None found,",['Manga'],['Hentai'],,15 min. per ep.,Rx - Hentai,6.72,N/A,#6380,"11,423",38,4775,Based on the manga by Yasui Riosuke. Contains minimal animation.,"['Adaptation (Manga) Bust To Bust: Chichi wa Chichi ni', '']",Bust to Bust: Chichi wa Chichi ni,,,,,,,
136,,家庭教師のおねえさん2 THE ANIMATION～Hの偏差値あげちゃいます～,,['OVA'],2,Finished Airing,"Oct 22, 2010 to Jan 28, 2011",,,['Pink Pineapple'],"None found,",['Maboroshi Koubou'],Visual novel,['Hentai'],,27 min. per ep.,Rx - Hentai,7.01,N/A,#6584,"10,622",35,4210,"Touya's days with his tutors continue as his parents are out once again, leaving them all alone with him.","['Prequel (OVA) Kateikyoushi no Oneesan The Animation: H no Hensachi Agechaimasu', 'Adaptation (Light Novel) Kateikyoushi no Oneesan: H no Hensachi Agechaimasu']",Kateikyoushi no Oneesan 2 The Animation: H no Hensachi Agechaimasu,,,,,,,
137,"Mahou Sensei Negima! OVA Mahou Sekai Extra: Magical Girl Yue, Mahou Sensei Negima!: Mou Hitotsu no Sekai Episode 5",魔法先生ネギま! もうひとつの世界Extra 魔法少女ユエ♥,,['OVA'],1,Finished Airing,"Nov 17, 2010",,,"None found,","None found,","['Shaft', 'Studio Pastoral']",['Manga'],,['School'],31 min.,PG-13 - Teens 13 or older,7.18,#3455,#6663,"10,334",11,3706,Mahou Sensei Negima! Mou Hitotsu no Sekai extra episode featuring Yue.,"['Adaptation (Manga) Mahou Sensei Negima!', '']",Mahou Sensei Negima!: Mou Hitotsu no Sekai Extra - Mahou Shoujo Yue♥,,,"['Action', 'Adventure', 'Fantasy', 'Ecchi']",,['Shounen'],,
138,,明菜と温泉でHしよっ,,['OVA'],1,Finished Airing,"Nov 17, 2010",,,['ChiChinoya'],"None found,",['Studio Boogie Nights'],Original,['Hentai'],,21 min.,Rx - Hentai,6.42,N/A,#6938,"9,416",39,3742,"Miyazawa Akina is the captain of a college softball team who has just hit a string of good luck. Her team has won the tournament, her love life is progressing well and her childhood friend has now become her boyfriend, and she recently won two tickets to a nearby hot springs. In high spirits, she fully intends to relax and celebrate her victories, but she might not be able to get much rest in such a romantic location, alone with the man she loves. (Source: ANN)",[],Akina to Onsen de H Shiyo!,,,,,,,
139,,秘湯めぐり 隠れ湯,,['OVA'],2,Finished Airing,"Dec 3, 2010 to Feb 25, 2011",,,['Mary Jane'],"None found,",['Kantou Douga Kai'],Visual novel,['Hentai'],,14 min. per ep.,Rx - Hentai,6.03,N/A,#7062,"9,000",20,3123,"Mikio returns to his hometown for the first time in half a year. The first thing he sees is the traditional Japanese onsen inn managed by Yukino Chitose, childhood friend and one-time lover. Despite the passing of half a year, Chitose still possessed a girlish appearance. However, the traditional clothes that she wears brings out a mature and beautiful feel about her. That night, upon conclusion of his business, he goes in search of Chitose. Hearing her voice, he follows it and comes to an outdoor bath. Peeking through a gap in the bamboo fence, he is stunned to see her with another man... (Source: translated and adapted from official site by Cranston)",[],Hitou Meguri Kakure Yu,,,,,,,
140,"Koi☆Cent, Koisento",コイ☆セント,Coicent,['OVA'],1,Finished Airing,"Nov 27, 2010",,,['Showgate'],['Sentai Filmworks'],['Sunrise'],Original,,,25 min.,PG-13 - Teens 13 or older,6.30,#8263,#7199,"8,605",3,4285,"It's a quick time jump to the 26th century where a school trip to a rebuilt 21st century city turns into a wild adventure for teenaged Shinichi. While chasing a talking deer that steals his bag, he runs into a strange girl trying to elude even stranger pursuers, and then things get really wild. It's a mad dash through a city of the past as two young people discover a chance at a new future. (Source: The Anime Network)",[],Koi☆Sento,,,"['Comedy', 'Romance', 'Sci-Fi']",,,,
141,,殻ノ少女,Girl in the Shell,['OVA'],2,Finished Airing,"Jan 15, 2010 to Oct 15, 2010",,,"['Milky Animation Label', 'MS Pictures', 'Innocent Grey']",['Kitty Media'],['Flavors Soft'],Visual novel,,,27 min. per ep.,Rx - Hentai,5.65,N/A,#7425,"7,877",20,2784,"Reiji is a private detective. One day, he receives a strange offer from a girl, ""Please look for... me. True me."" At that time, a series of abnormal murder cases happen and Reiji is offered to investigate it as well. There is a girls' high school Yukari, Reiji's younger sister, goes and two female students are missing. Tokio, vice principal of the school, offers Reiji to search for them. As a result, Reiji receives three offers at the same time. To collect information, he starts working at the school in disguise and meets Toko, who asked him to look for real her before. ""Hi, nice to see you again, sir."" The killing never stops.... A spiral of tragedy.... What breaks through this tragic condition might be a girl's smile.... (Source: Himeya Shop)","['Prequel (OVA) Cartagra: Tsuki Gurui no Yamai', '']",Kara no Shoujo,,,"['Mystery', 'Hentai']",,,,
142,,彼女が見舞いに来ない理由,,['OVA'],3,Finished Airing,"Nov 19, 2010 to Jun 21, 2013",,,"['Cotton Doll', 'Lune-Pictures']","None found,",['T-Rex'],Visual novel,,,27 min. per ep.,Rx - Hentai,6.31,N/A,#7663,"7,316",15,2758,"Seiji is a permanent part-timer. He has been dating a girl, Ai, for two years and he is now thinking about marrying her. But one day, he has a traffic accident and breaks his leg and becomes hospitalized. Ai promises, with a smile, to visit him every day. But their relationship gradually changes after his hospitalization. A real estate broker who hit Seiji. A guy at the same hospital room. A handsome doctor in charge of him. A co-worker at his shop. A nurse who is his ex-girlfriend. Various people cut in on Seiji and Ai's relationship. Will they be able to overcome it and keep their relationship?",[],Kanojo ga Mimai ni Konai Wake,,,"['Drama', 'Hentai']",,,,
143,Elf Princess Nina,エルフ姫ニィーナ,,['OVA'],3,Finished Airing,"Oct 29, 2010 to May 16, 2012",,,['Pixy'],"None found,",['Studio 9 Maiami'],Visual novel,,,28 min. per ep.,Rx - Hentai,6.40,N/A,#7728,"7,177",21,2549,"Kyle, the protagonist of this story, is one of the 7 heroes who defeated the evil overlord. After that battle he starts a conquest of the continent in order to unite the humans who live on it. Standing against Kyle is only his younger brother Syll, who is also one of the seven heroes. Kyle stole his throne, but failed to kill him. One day, another of the 7 heroes appears before Kyle. She is Nina, an elven princess. Kyle knows that Nina and Syll are lovers, and a dark desire begins to burn inside of him...",[],Elf Hime Nina,,,"['Fantasy', 'Hentai']",,,,
144,"Mourning Wife, Mofuku Tsuma, Landlady Mie, Birei Okami Mie",喪服妻,,['OVA'],2,Finished Airing,"Oct 29, 2010 to Apr 29, 2011",,,['Lune-Pictures'],"None found,",['Schoolzone'],Visual novel,['Hentai'],,26 min. per ep.,Rx - Hentai,6.27,N/A,#7907,"6,787",13,2480,"Honami's husband, an older man named Satoshi, died in their honeymoon. Honami's dream for a happy family with him is crushed but that's not all the trouble she has to face. Satoshi's sister, Kayoko, sees Honami as responsible for his death and believes that she killed him so she can inherit his fortune. Now she plans on taking revenge and driving Honami away. Manabu, who was raised by Kayoko now finds himself pushed to help her on her revenge but Honami is still dedicated on fulfilling Satoshi's family dream with what is left from his family even if she has to take Kayoko's hate.",[],Mofukuzuma,,,,,,,
145,Da Capo: D.C. I & II P.S.P. OVA,D.C.I&II P.S.P. RE-ANIMATED,,['OVA'],1,Finished Airing,"Oct 28, 2010",,,"None found,","None found,",['Zexcs'],Visual novel,,['Harem'],22 min.,PG-13 - Teens 13 or older,6.65,#6184,#7949,"6,705",1,2303,"An OVA bundled with a PSP game Da Capo: D.C. I & II P.S.P. It features animated confession scenes for the four main heroines of the two games, Nemu, Kotori, Yume, and Otome.",[],D.C. I&II P.S.P. Re-Animated,,,"['Drama', 'Romance']",,,,
