,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,Demographic,Genre,Demographics
247,,ANEMONE／交響詩篇エウレカセブン ハイエボリューション,Anemone: Eureka Seven Hi-Evolution,,,,['Movie'],1,Finished Airing,"Nov 10, 2018",,,"['Mainichi Broadcasting System', 'Showgate', 'Bandai Namco Entertainment', 'Hakuhodo DY Music & Pictures', 'Bandai Namco Arts']",['Funimation'],['Bones'],Original,"['Adventure', 'Drama', 'Sci-Fi']",['Mecha'],1 hr. 30 min.,PG-13 - Teens 13 or older,6.59,#6492,#6050,"13,052",18,2262,"The film centers on Anemone, a girl who lost her father in a battle in Toyko seven years prior to the film's story, leaving her with only her stuffed toy Gulliver, and the AI concierge Dominikids for emotional support. Now she is a key part of a strategy by the experimental unit ""Acid"" to combat the seventh Eureka, ""Eureka Seven,"" an enemy of humanity that has killed 2.6 billion people. Driven to the brink, all of humanity entrusts its hope to Anemone as she dives deep into the interior of Eureka Seven. (Source: ANN)","['Prequel (Movie) Koukyoushihen Eureka Seven Hi-Evolution 1', 'Sequel (Movie) Koukyoushihen Eureka Seven Hi-Evolution 3: Eureka']",Koukyoushihen Eureka Seven Hi-Evolution 2: Anemone,,,,
248,Zuo Ri Qing Kong,昨日青空,Crystal Sky of Yesterday,,,,['Movie'],1,Finished Airing,"Oct 26, 2018",,,"['Beijing Enlight Pictures', 'Horgos Coloroom Pictures Co., Ltd.']","None found,","['Nice Boat Animation', 'Guton Animation Studio']",['Manga'],"['Drama', 'Romance', 'Slice of Life']",['School'],1 hr. 22 min.,PG-13 - Teens 13 or older,6.81,#5313,#6203,"12,266",22,2836,"In the late 90's, in China, Tu Xiaoyi, an high school student, takes no interest in marks and prefers to play video games with his friend nicknamed ""Peanut."" One day, he was chosen by his teacher to become the class representative with Yao Zhetian, a very cute girl. He will experience his first love and disappointments.","['Adaptation (Manhua) Zuori Qing Kong', '']",Zuori Qing Kong,,,,
249,,魔法少女リリカルなのは Detonation,Magical Girl Lyrical Nanoha: Detonation,,,,['Movie'],1,Finished Airing,"Oct 19, 2018",,,['Shochiku'],['Discotek Media'],['Seven Arcs Pictures'],Original,"['Action', 'Comedy', 'Drama']",,1 hr. 51 min.,PG-13 - Teens 13 or older,7.53,#1797,#6770,"9,961",35,3633,"During a rash attempt to save her father and her dying home planet of Eltria, Kyrie Florian is betrayed by her childhood friend, Iris. Furthermore, the power Kyrie has gathered from Nanoha Takamachi and the other Earth protectors cannot be used to help her father. Iris casts the despairing Kyrie aside, having acquired what she desired to exact revenge on Yuri Eberwein, a powerful being who lies dormant on Earth. Left to pick up the pieces, Nanoha and her allies must confront the troublesome Iris to uncover the truth and stop the conflict between her and Yuri. However, amidst the raging battles, a much more dangerous threat lingers in the shadows. No matter the obstacle, Nanoha remains diligent and does not hesitate to help those in need with her magic. [Written by MAL Rewrite]","['Prequel (Movie) Mahou Shoujo Lyrical Nanoha: Reflection', '']",Mahou Shoujo Lyrical Nanoha: Detonation,"['Mahou Shoujo', 'Super Power']",,,
250,,薄墨桜 -GARO-,Garo: The Fleeting Cherry Blossom,,,,['Movie'],1,Finished Airing,"Oct 6, 2018",,,['Tohokushinsha Film Corporation'],"None found,","['Studio VOLN', 'Studio M2']",Original,"['Action', 'Fantasy', 'Supernatural']",['Mythology'],1 hr. 22 min.,PG-13 - Teens 13 or older,6.23,#8669,#8391,"5,866",4,873,"Set during the Heian Period, Kyo is a beautiful city that is proud of its glory. Two beautiful onmyouji meet, and the sad and short-lived beautiful cherry blossom starts to stir after 1000 years. (Source: MAL News)","['Prequel (TV) Garo: Guren no Tsuki', '']",Usuzumizakura: Garo,,,,
251,Eiga Hugtto! Precure x Futari wa Precure,映画 HUGっと！プリキュア♡ふたりはプリキュア オールスターズメモリーズ,,,,,['Movie'],1,Finished Airing,"Oct 27, 2018",,,"None found,","None found,",['Toei Animation'],Original,,['Mahou Shoujo'],1 hr. 13 min.,G - All Ages,7.73,#1218,#8883,"5,068",21,2119,"A vengeful teru teru bozu-like monster called Miden is stealing all of the Cures' magical powers and memories, turning them into helpless infants, barring Nagisa Misumi and Hana Nono. They must help the affected Cures to regain their abilities and fight off this new menace. (Source: Wikipedia)",[],Hug tto! Precure♡Futari wa Precure Movie: All Stars Memories,,,['Action'],
252,Kaijuu Girls Black,怪獣娘～ウルトラ怪獣擬人化計画～,,,,,['Movie'],1,Finished Airing,"Nov 23, 2018",,,['Sotsu'],"None found,",['Yumeta Company'],Original,"['Comedy', 'Fantasy']",['Parody'],57 min.,PG-13 - Teens 13 or older,6.47,#7282,#9434,"4,233",1,783,"After years of war against the monstrous kaiju, the world finally knows a time of prosperity and peace — but the presence of the kaiju can still be felt. Girls with the souls of kaiju are born every so often, and each is gifted with the unusual abilities of kaiju! An organization called GIRLS has collected the Kaiju Girls to defend the earth, but rising from the shadows comes BLACK STARS, a troupe of evil Kaiju Girls who just recruited their latest — and somewhat bewildered — new member… (Source: HIDIVE)","['Prequel (TV) Kaijuu Girls: Ultra Kaijuu Gijinka Keikaku 2nd Season', '']",Kaijuu Girls Kuro: Ultra Kaijuu Gijinka Keikaku,,,,
253,,PEACE MAKER 鐵～友命～,PEACE MAKER KUROGANE – Belief & Friend,,,,['Movie'],1,Finished Airing,"Nov 17, 2018",,,['Showgate'],"None found,",['White Fox'],['Manga'],"['Action', 'Comedy']",,56 min.,R - 17+ (violence & profanity),6.55,#6760,#9814,"3,773",4,560,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (Movie) Peace Maker Kurogane Movie 1: Omou Michi', 'Adaptation (Manga) Peace Maker Kurogane']",Peace Maker Kurogane Movie 2: Yuumei,"['Historical', 'Samurai']",['Shounen'],,
254,,モンスターストライク THE MOVIE ソラノカナタ,,Monster Strike The Movie,Monster Strike The Movie,Monster Strike The Movie,['Movie'],1,Finished Airing,"Oct 5, 2018",,,['XFLAG'],"None found,",['Orange'],Game,"['Action', 'Fantasy']",['Video Game'],1 hr. 37 min.,None,6.32,#8178,#10025,"3,514",4,315,"13 years ago, suddenly one part of Tokyo broke off and began to float in the sky. Tokyo was separated into ""Old Tokyo"" as the part that was floating in the air, and ""New Tokyo,"" the part that stayed on the ground. Communication and interaction between the two Tokyos was impossible, and years passed. One day, a young girl perceives that Old Tokyo will fall back down to the ground, and she sets out on the perilous path from from Old Tokyo to New Tokyo to save the citizens from the impending crisis. (Source: ANN)",[],Monster Strike the Movie: Sora no Kanata,,,,
255,Ghost in the Shell: Ghost Chaser,攻殻機動隊GHOST CHASER,Ghost in the Shell: Ghost Chaser,,,,['Movie'],1,Finished Airing,"Nov 2, 2018",,,['Khaki'],"None found,",['Production I.G'],['Manga'],"['Action', 'Mystery', 'Sci-Fi']",['Detective'],8 min.,PG-13 - Teens 13 or older,6.31,#8189,#10590,"2,959",5,340,"A new ride-like VR attraction. The ride will debut at the ""hexaRide"" attraction area of the renewed Diver City Tokyo Plaza. The ride attraction allows up to 12 people to ride at the same time using Q-Ride equipment with six-directional movement, and VR headsets. The ride costs 1,000 yen (about US$9) per person. This story is set in the Kuzan Republic. The defense minister, who will take part in a meeting of the Next-generation Weapon Coordination Council, has ordered an advance onsite inspection. Ride participants are tasked with providing escort while securing an inspection route in Public Security Section 9, where Motoko Kusanagi serves as leader. Riders will use the hexaRide vehicle to enter cyberspace and, serving as a Public Security Section 9 agent, join in an attack on revolutionary movement forces. (Source: ANN)","['Adaptation (Manga) Koukaku Kidoutai: Arise - Sleepless Eye', '']",Koukaku Kidoutai: Ghost Chaser,,['Seinen'],,
256,Happy Science Movie 8,宇宙の法-黎明編-,The Laws of the Universe: Part 1,,,,['Movie'],1,Finished Airing,"Oct 12, 2018",,,"None found,","None found,",['HS Pictures Studio'],Original,,['Space'],1 hr. 59 min.,G - All Ages,5.25,#12815,#11739,"2,100",3,316,"University students, Ray, Anna, Tyler, Halle, and Eisuke are enjoying college life and pursuing their dreams, but in reality, They have a secret mission, to fight against invading Reptilians from outer space. One day, Ray travels back in time to 330 million years ago on Earth, to find his missing friend Tyler who has fallen into a trap set by the evil alien, Dahar. During that time, Alpha, the God of the Earth, was planning to create a new civilization on Earth and invited Queen Zamza and her fellow Reptilian from the planet Zeta, to Earth. What is the intention of Dahar? What will happen to Ray and Tyler? And what is “the plan of the God of the Earth""? (Source: Eleven Arts)","['Prequel (Movie) UFO Gakuen no Himitsu', '']",Uchuu no Hou: Reimei-hen,,,['Sci-Fi'],
257,Eiga Youkai Watch: Forever Friends,映画 妖怪ウォッチ FOREVER FRIENDS,,,,,['Movie'],1,Finished Airing,"Dec 14, 2018",,,['TOHO'],"None found,",['OLM'],Game,"['Comedy', 'Supernatural']",['Mythology'],1 hr. 40 min.,PG - Children,6.68,#6016,#11963,"1,960",9,546,"1960s --- Tokyo. Shin is a boy who lived happily despite being poor, loses his mother who is his only family member, and falls into deep misfortune. Itsuki, a boy who saves Shin also lost his older sister. Those two boys are joined by Tae, a girl who can see youkai and together with Shin's guardian spirit Suu-san and new Youkai such as Nekomata, they take on a mysterious incident in order to retrieve the souls of their precious family! And what is the shocking truth that awaits them...!? An origin story for how Lord Enma became the rule of the Yomakai. (Source: Wikipedia, edited)","['Prequel (Movie) Youkai Watch Movie 4: Shadow Side - Oni-ou no Fukkatsu', 'Sequel (Movie) Youkai Watch Movie 6: Youkai Gakuen Y - Neko wa Hero ni Nareru ka']",Youkai Watch Movie 5: Forever Friends,,['Kids'],,
258,Cat Project,猫企画,,,,,['Movie'],1,Finished Airing,"Nov 30, 2018",,,"['Speed Inc.', 'T-JOY']","None found,","None found,",Original,,,37 min.,None,[],#20603,#18650,370,0,,"The ""hyper black comedy"" anime takes place in Nyagoya City, a trendy town where cats live. In this peaceful town, many of the cats are suddenly disappearing. The NEET cat Takumi must save his father, who is wrapped up in the incident. The anime will feature the characters speaking in Nagoya dialect, and will feature famous sightseeing spots such as Nagoya Castle. (Source: ANN)",[],Neko Kikaku,,,['Comedy'],
259,,it’s MAREY o’clock now!,,,,,['Movie'],1,Finished Airing,"Oct 5, 2018",,,"None found,","None found,","None found,",Original,,,2 min.,G - All Ages,4.93,#13287,#19679,303,0,127,Title animation for mareykrap's first solo exhibition it's zero o'clock now.,[],It's Marey O'Clock Now!,,,['Avant Garde'],
260,,可愛,Adorable,,,,['Movie'],1,Finished Airing,"Dec 8, 2018",,,"None found,","None found,","None found,",Original,"['Avant Garde', 'Drama', 'Erotica']",,5 min.,R+ - Mild Nudity,5.14,N/A,#19680,303,0,110,A short film that directly gazes at lives and the society with observation and imagination. It is queer and it is here. (Source: IMDB),[],Ke Ai,,,,
261,Mu-nyeo-do,무녀도,The Shaman Sorceress,,,,['Movie'],1,Finished Airing,"Oct 6, 2018",,,"None found,","None found,",['Studio Meditation With a Pencil'],Novel,,,1 hr. 25 min.,PG-13 - Teens 13 or older,[],#20474,#20123,279,0,,"Mohwa, who lives with her deaf daughter Nang-Yi, has been practicing Shamanism her entire life. One day, her son Wook-Yi returns home but as a converted Christian. This sparks conflict between mother and son which ends in a terrible tragedy that leads Nang-Yi to create a mysterious painting. (Source: Annecy)",[],Munyeodo,,,['Drama'],
262,"Speckles the Tarbosaurus 2: The New Paradise, Konglong Wang, Dino King, 恐龙王",점박이 한반도의 공룡 2: 새로운 낙원,Dino King: Journey to Fire Mountain,,,,['Movie'],1,Finished Airing,"Dec 25, 2018",,,"None found,","None found,","None found,",Original,,,1 hr. 34 min.,G - All Ages,[],#17638,#21741,189,0,,"An action-packed family adventure that combines the realism of Walking With Dinosaurs with the heart of Finding Nemo. Speckles, a ferocious tarbosaurus and his young son junior, mourning the loss of their family in an epic battle, roam the lands in search of food, adventure and peace. Under the watchful eye of his dad, Junior is growing up healthy and strong, but with an overconfidence thanks to his young age. After one encounter results in Junior being kidnapped, Speckles embarks on an adventure to the ends of earth to find his son. Encountering friend and foe, ally and enemy, Speckles will stop at nothing and will take on all corners to save his offspring. (Source: Amazon)","['Prequel (Movie) Jumbagi: Hanbandoui gongryong 3D', '']",Dino King 3D: Journey to Fire Mountain,,,['Adventure'],
263,,Share the Warmth,,,,,['Movie'],1,Finished Airing,"Dec 27, 2018",,,"None found,","None found,","None found,",Unknown,,,5 min.,G - All Ages,[],#14075,#21943,177,0,,"A global brand movie produced to commemorate the 100th anniversary of our founding. A family of three living near the forest. One morning in winter, the lumberjack's father is important It's hard because I forgot ""something"" at home and entered the forest! A young girl stands up with courage to deliver what she has forgotten. Beyond that, the mysterious creatures of the forest were waiting for us ... (Source: Zojirushi Mahobin)",[],Share the Warmth,,,['Adventure'],
264,,夜になった雪のはなし,A Snowflake into the Night,,,,['Movie'],1,Finished Airing,"Nov 2, 2018",,,"None found,","None found,","None found,",Original,,,6 min.,PG-13 - Teens 13 or older,[],#16093,#22020,174,0,,"One day, the snow metamorphosed into an earthworm, when it sensed danger for melting. The earthworm, who longed for aboveground, metamorphosed into a tree. It continues metamorphosing and... Someday, it will remember her old self. (Source: Vimeo)",[],Yoru ni Natta Yuki no Hanashi,,,['Avant Garde'],
265,,當 一個人,Where Am I Going?,,,,['Movie'],1,Finished Airing,"Oct 12, 2018",,,"None found,","None found,","None found,",Original,,,15 min.,PG-13 - Teens 13 or older,[],#17548,#23541,122,0,,The old man goes to mend window screen by his bike. He passes through all scenes which make him nervous or comfortable. It is his day and also a metaphor of his life. (Source: IMDB),[],Dang Yigeren,,,['Drama'],
266,,장미여관,Motel Rose,,,,['Movie'],1,Finished Airing,"Oct 19, 2018",,,"None found,","None found,","None found,",Unknown,,['Idols (Female)'],1 hr. 17 min.,None,[],#18913,#23971,112,0,,"In the city lies a red light district, and the Rose Motel. Student Mina is hired as a cleaner and meets a young sex worker, Hannah, known to regulars as Rose, whose dream is to become a super star, just like her idol, the ""real"" Rose. (Source: IMDB)",[],Jangmiyeogwan,,,['Slice of Life'],
267,"Alibaba Three Blondes, Ali Baba Sangen Jinfa",阿里巴巴三根金发,Alibaba and the Three Golden Hair,,,,['Movie'],1,Finished Airing,"Dec 30, 2018",,,"None found,","None found,","None found,",Unknown,"['Adventure', 'Fantasy']",,1 hr. 21 min.,PG - Children,[],#16542,#24077,110,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (Movie) Alibaba 2: Solomon Fengyin', 'Sequel (Movie) Alibaba Yu Shen Deng']",Alibaba Sangen Jinfa,,['Kids'],,
268,,八仙,Eight Immortals,,,,['Movie'],1,Finished Airing,"Nov 3, 2018",,,"None found,","None found,","None found,",Original,,['Mythology'],1 hr. 27 min.,G - All Ages,[],#16881,#24082,110,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Baxian,,,['Fantasy'],
