,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,German,Spanish,French,Theme,Themes,Genre,Demographics
253,Dance with Devils -Fortuna-,,['Movie'],1,Finished Airing,"Nov 4, 2017",,,"['DIVE II Entertainment', 'Avex Pictures']","None found,","[""Brain's Base""]",Mixed media,"['Romance', 'Supernatural']",,1 hr. 1 min.,R - 17+ (violence & profanity),6.27,#8430,#5136,"19,998",50,3114,"Ritsuka Tachibana. She lives a calm and unchanging life. Ritsuka's older brother Lindo returns from studying abroad in the United Kingdom. Shikou Academy student council president Rem Kaginuki calls on the girl, and she begins having mysterious encounters with the student council members. Her life changed a little from that day, but Ritsuka expected nothing more. However, she comes home to find her mother collapsed with suspicious hooded men nearby. They were not human but devils, vampires, and exorcists seeking the Forbidden Grimoire. Ritsuka's former daily life crumbles around her, and she finds herself slowly becoming attracted to Rem, who helps her in her predicament. On the other hand, confusion deepens with regard to her brother who carries a secret. Ritsuka is unsure what path to choose as she finds herself at the center of a love story. (Source: ANN)","['Prequel (TV) Dance with Devils', '']",Dance with Devils: Fortuna,,,,,,"['Mythology', 'Reverse Harem', 'School', 'Vampire']",,
254,曇天に笑う＜外伝＞ ～決別、犲の誓い～,Donten: Laughing Under the Clouds - Gaiden: Chapter 1 - One Year After the Battle,['Movie'],1,Finished Airing,"Dec 2, 2017",,,"['Production I.G', 'Shochiku', 'Blade', 'Kinoshita Management']",['Eleven Arts'],['Wit Studio'],['Manga'],"['Action', 'Supernatural']",,50 min.,PG-13 - Teens 13 or older,7.40,#2362,#5317,"18,430",31,3141,"One year has passed after the great battle against the ""Orochi"" (gigantic snake). Tenka had been paralyzed from the final battle and he took part of the government's human experiment before the battle. Tenka withdrew himself from society, but his younger brothers, Soramaru and Chuutaro, find out the secret past about their older brother. (Source: Amazon Prime Video)","['Sequel (Movie) Donten ni Warau Gaiden: Shukumei, Soutou no Fuuma', 'Adaptation (Manga) Donten ni Warau Gaiden']","Donten ni Warau Gaiden: Ketsubetsu, Yamainu no Chikai","Cloudy Laugh Gaiden, Laughing Under the Clouds Gaiden",Unterm Wolkenhimmel: Laughing Under the Clouds: Gaiden - Komplettbox,,,['Historical'],,,
255,機動戦士ガンダム サンダーボルト BANDIT FLOWER,Mobile Suit Gundam Thunderbolt: Bandit Flower,['Movie'],1,Finished Airing,"Nov 18, 2017",,,"None found,",['NYAV Post'],['Sunrise'],['Manga'],"['Action', 'Drama', 'Sci-Fi']",,1 hr. 29 min.,R+ - Mild Nudity,7.25,#3107,#5520,"16,564",30,8281,Compilation film for Mobile Suit Gundam Thunderbolt 2nd Season.,"['Prequel (Movie) Kidou Senshi Gundam Thunderbolt: December Sky', 'Adaptation (Manga) Kidou Senshi Gundam Thunderbolt']",Kidou Senshi Gundam Thunderbolt: Bandit Flower,,,,Mobile Suit Gundam Thunderbolt Film: Bandit Flower,,"['Mecha', 'Military', 'Space']",,
256,フルメタル・パニック！ボーイ・ミーツ・ガール,,['Movie'],1,Finished Airing,"Nov 25, 2017",,,"None found,","None found,",['Gonzo'],['Light novel'],"['Action', 'Comedy', 'Sci-Fi']",,2 hr.,R - 17+ (violence & profanity),7.03,#4268,#7168,"8,657",5,1752,"Shikidouji, the illustrator of Shoji Gatoh's Full Metal Panic! light novel series, revealed that production has been green-lit on a ""director's cut"" version of the first Full Metal Panic!! television anime series from 2002. The director's cut will consist of three films. The announcement does not state if the film trilogy will add new footage. (Source: ANN)","['Sequel (Movie) Full Metal Panic! Movie 2: One Night Stand', 'Adaptation (Manga) Full Metal Panic!', 'Adaptation (Manga) Full Metal Panic! Sigma', 'Adaptation (Light Novel) Full Metal Panic! Tanpenshuu']",Full Metal Panic! Movie 1: Boy Meets Girl,FMP,,,,,"['Mecha', 'Military']",,
257,特別版 Free!-Take Your Marks- キャラクター舞台挨拶,,['Movie'],4,Finished Airing,"Oct 28, 2017",,,"None found,","None found,",['Kyoto Animation'],Original,,,5 min. per ep.,PG-13 - Teens 13 or older,6.88,#4952,#7595,"7,455",1,1940,Character Stage Greeting Manner Special's shown before main movie. Later included on the movie Blu-ray and DVD release.,[],Free! Take Your Marks: Character Butai Aisatsu,,,,,,,['Comedy'],
258,弱虫ペダル Re:GENERATION,,['Movie'],1,Finished Airing,"Oct 13, 2017",,,"None found,","None found,",['TMS Entertainment'],['Manga'],,['Shounen'],1 hr. 30 min.,PG-13 - Teens 13 or older,7.17,#3556,#8238,"6,105",2,1313,The summary movie compiling episodes from the 3rd season of the anime with some new scenes.,[],Yowamushi Pedal: Re:Generation,Yowamushi Pedal Summary,,,,,,['Sports'],
259,刀剣乱舞-花丸- ～幕間回想録～,,['Movie'],1,Finished Airing,"Dec 1, 2017",,,"None found,","None found,",['Doga Kobo'],Game,"['Action', 'Comedy', 'Fantasy']",,1 hr. 25 min.,PG-13 - Teens 13 or older,6.64,#6251,#8412,"5,848",13,588,Recap movie of Touken Ranbu: Hanamaru.,[],Touken Ranbu: Hanamaru - Makuai Kaisouroku,,,,,,"['Anthropomorphic', 'Historical']",,
260,機動戦士ガンダム Twilight AXIS 赤き残影,Mobile Suit Gundam: Twilight Axis - Red Blur,['Movie'],1,Finished Airing,"Nov 18, 2017",,,"None found,",['Nozomi Entertainment'],['Sunrise'],Novel,"['Action', 'Sci-Fi']",,26 min.,PG-13 - Teens 13 or older,5.42,#12362,#9072,"4,760",3,1548,Compilation film of Mobile Suit Gundam: Twilight Axis.,"['Adaptation (Manga) Kidou Senshi Gundam: Twilight Axis', '']",Kidou Senshi Gundam: Twilight Axis - Akaki Zanei,,,,,,"['Mecha', 'Military', 'Space']",,
261,映画キラキラ☆プリキュアアラモード パリッと！想い出のミルフィーユ！,,['Movie'],1,Finished Airing,"Oct 28, 2017",,,"None found,","None found,",['Toei Animation'],Original,"['Action', 'Slice of Life']",,1 hr. 10 min.,G - All Ages,6.83,#5196,#9699,"3,900",4,1551,"I'm Usami Ichika! Myself and the others all decided to take part in a famous sweets contest that's to be held in France♪ But Ciel doesn't seem like herself...so making sweets and transforming into a Cure don't go so well for her! At the contest venue, we meet a pâtissier called Jean-Pierre. Hang on! This is the same man who taught Ciel how to cook in Paris! Ah! I just had a bright idea☆Ciel should create a memory filled-sweet called ""Mille-feuille"" together with Jean for the contest! With that all decided, let's・la・cooking...well, that's what I thought until a mysterious monster attacks the pâtissier! We also find out that Paris is hiding the realest sweet ever!? What is going on~~~!? (Source: Precure Wiki)",[],Kirakira☆Precure A La Mode Movie: Paritto! Omoide no Mille-Feuille!,Eiga Kirakira Precure A La Mode: Paris to! Omoide no Mille-Feuille!,,,,['Mahou Shoujo'],,,
262,映画　妖怪ウォッチ　シャドウサイド　鬼王の復活,Yo-kai Watch Shadowside: The Return of the Oni King,['Movie'],1,Finished Airing,"Dec 16, 2017",,,"None found,","None found,",['OLM'],Game,,['Kids'],1 hr. 34 min.,G - All Ages,6.97,#4520,#11128,"2,517",9,868,"Taking place 30 years after the events of the original Youkai Watch TV series. There was once a 11 year old boy named Keita Amano who held a wristwatch that could command Youkai, he would make friends with the Youkai and fulfill a great many deeds. But when the boy grew up, he lost his ability to see Youkai. And as for the wristwatch that could control Youkai, its existence threatened to disturb the balance between human and Youkai worlds, so it was cast away into oblivion beyond time and space. Soon ... the story of the Youkai controlling wristwatch became but a legend. But then, something took place after many, many years had passed ... an epidemic Youkai virus known as Onimaro started affecting people with malevolent intentions and is spreading indefinitely, turning them into Kaodeka Oni and causing chaos throughout the city. With the end near, only the ones chosen by a new Youkai Watch can stand up against the upcoming threat and would save both Youkai and humans from certain destruction. (Source: Wiki)","['Prequel (TV) Youkai Watch', 'Prequel (Movie) Youkai Watch Movie 3: Soratobu Kujira to Double Sekai no Daibouken da Nyan!', 'Sequel (TV) Youkai Watch: Shadow Side', 'Sequel (Movie) Youkai Watch Movie 5: Forever Friends']",Youkai Watch Movie 4: Shadow Side - Oni-ou no Fukkatsu,Eiga Youkai Watch: Shadow Side - Oni Ou no Fukkatsu,,Yo-kai Watch Shadowside: El Retorno del Rey Oni,,['Mythology'],,['Supernatural'],
263,刀剣乱舞-花丸- ～幕間回想録～ 鑑賞の淀,,['Movie'],2,Finished Airing,"Dec 1, 2017 to Dec 8, 2017",,,"None found,","None found,","None found,",Game,,,3 min. per ep.,G - All Ages,5.93,#10259,#12385,"1,706",2,185,Manner movies that aired right before the showing of Touken Ranbu: Hanamaru - Makuai Kaisouroku. The film was only shown for two weeks and each manner movie ran for a week. It shows the characters in chibi form in a theater teaching the viewers good etiquette before watching their film.,[],Touken Ranbu: Hanamaru - Makuai Kaisouroku Manner Movies,Touken Ranbu: Hanamaru - Makuai Kaisouroku - Kanshou no Yodo,,,,['Parody'],,['Comedy'],
264,DCスーパーヒーローズvs鷹の爪団,,['Movie'],1,Finished Airing,"Oct 21, 2017",,,"None found,","None found,",['DLE'],Other,,,1 hr. 44 min.,G - All Ages,5.51,#12077,#12908,"1,450",1,191,"Joker has come to Japan to steal the Eagle Talon Society's secret weapons in his continued scheme for pure chaos. However, the Justice League is on his trail, but there's something off with Batman. Now, it's up to Eagle Talon to go find out what's wrong with Batman, and that means going back in time to Bruce Wayne's most traumatic experience, the murder of his parents. If that wasn't enough to worry about, the Eagle Talon Society also have to keep their eyes on their production budget, especially with most of that money going towards the licensing fee for DC's popular characters. Will the Eagle Talon Society and the Justice League be able to stop the Joker before their budget dries up, and they're reduced to simple stick figures!?","['Sequel (ONA) Himitsukessha Taka no Tsume GG', '']",DC Super Heroes vs Taka no Tsumedan,DC Super Heroes vs 鷹の爪団,,,,,"['Parody', 'Super Power']",['Comedy'],
265,Petit☆ドリームスターズ! レッツ・ラ・クッキン? ショータイム!,,['Movie'],1,Finished Airing,"Oct 28, 2017",,,"None found,","None found,",['Toei Animation'],Original,"['Fantasy', 'Slice of Life']",,5 min.,G - All Ages,5.88,#10539,#14281,998,0,392,A 3DCG short screened alongside Kirakira☆Precure A La Mode Movie: Paritto! Omoide no Mille-Feuille!.,[],Petit☆Dream Stars! Let's La Cooking? Showtime!,,,,,,,,
266,「とうきょう」- Tokyo,Tokyo,['Movie'],1,Finished Airing,"Oct 5, 2017",,,"None found,","None found,","None found,",Original,,,1 min.,G - All Ages,3.95,#13773,#14633,905,0,514,A short film spelling Tokyo in hiragana.,[],"""Tokyo""",,,,,,,['Avant Garde'],
267,映画かいけつゾロリ ZZのひみつ,,['Movie'],1,Finished Airing,"Nov 25, 2017",,,"None found,","None found,","None found,",Book,"['Adventure', 'Comedy']",['Kids'],1 hr. 9 min.,PG - Children,[],#16737,#17110,492,2,,"Film commemorating the 30th anniversary of the Kaiketsu Zorori children's book series. Zorori makes an alarm clock machine to wake up in time for free donuts. But something strange happens when Zorori reminisces about his mother and sheds a tear. They see scenes flash by and the ZZ mark on his costume disappears! Zorori treasures it incredibly as it was added by his mother although he doesn't know its meaning. After crash landing in the street, Zorori, Ishishi, and Noshishi are saved by a fashion design student who they quickly discover is Zororene, Zorori's mother. The alarm clock machine had become a time machine and sent them to the past. She and later Zorondo Ron (Zorori's father), help the trio take back their time machine from the police and a kaijuu.",[],Kaiketsu Zorori Movie: ZZ no Himitsu,"Eiga Kaiketsu Zorori: ZZ no Himitsu, The Secret of Double Z",,,,,,,
268,에스워치,,['Movie'],1,Finished Airing,"Nov 9, 2017",,,"None found,","None found,","None found,",['Web manga'],,,50 min.,R+ - Mild Nudity,[],N/A,#18675,369,2,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],S-Watch,,,,,['Harem'],,['Erotica'],
269,パンパカパンツ×ララちゃん,,['Movie'],5,Finished Airing,"Dec 30, 2017 to Jun 30, 2018",,,"None found,","None found,","None found,",Original,,['Kids'],40 sec. per ep.,G - All Ages,[],#18487,#18778,360,0,,"A three-way collaboration between Lalala Lala-chan, Panpaka Pants, and the Aeon Cinema movie theater company. The first is a short promoting good theater etiquette and was screened at all Aeon Cinemas (the same day as the web release). Collaborative goods were sold at 422 Molly Fantasy stores (also owned by the Aeon conglomerate). Molly Fantasy stores had 3 unique collaboration episodes shown on TVs at the store front promoting good gaming etiquette.",[],Panpaka Pants x Lala-chan,"Eigakan no Manner: Oshaberi wa Dame desu yo-hen, Game-ki wo Tatai Tari Yusuttari Shinai-hen, Medal wa wo Mise no Soto ni Mochidasanai-hen, Junban wo Mamotte Asobu-hen",,,,['Strategy Game'],,,
270,"えいが パンパカパンツまつり ─プリン あら, ど~も",,['Movie'],1,Finished Airing,"Oct 7, 2017",,,"None found,","None found,",['DLE'],Original,,['Kids'],30 min.,G - All Ages,[],#18482,#19773,298,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],"Panpaka Pants Matsuri Movie: Purin Ara, Domo",Eiga Panpaka Pants Matsuri Purin Ara Domo,,,,,,['Comedy'],
271,水の夢,Water Dream,['Movie'],1,Finished Airing,Oct 2017,,,"None found,","None found,","None found,",Original,,,10 min.,G - All Ages,[],#17857,#20186,275,0,,"This film depicts evolution from birth of life to whale in the sea with music and images by dedication to the American contemporary composer George Klum's ""Vox Balaenae (1971)"". There are 4 part, Proterozoic, Paleozoic, Mesozoic, and Cenozoic. (Source: Yamamura Animation)",[],Mizu no Yume,"Water Dream, L'eau des rêves",,,,['Historical'],,,
272,基石,Fundamental,['Movie'],1,Finished Airing,"Oct 14, 2017",,,"None found,","None found,","None found,",Original,"['Drama', 'Suspense']",,7 min.,R+ - Mild Nudity,[],#16613,#20947,232,0,,"The animation is based on a self-experience. It is about the injury of rigid religious upbringing to a teenager who discovers the strange and terrifying reality behind fundamentalism. Warped into an ultra-religious environment from a young age, his surroundings force him to adhere to a rigid and sometimes irrational world-view. He eventually succumbs to the madness, and lives consumed by guilt while devouring every crumb of false hope thrown at him from his religious community. One day he gathers the courage to leave his faith behind, and sees that human existence is actually a more nuanced experience than the black and white reality in which he grew up in. By using metaphors of signs and symbols, the animation highlights and describes the mental illness caused by the conservative church on the lead character and illustrates how the character makes his way out from his dire situation. (Source: IMDB)",[],Jishi,,,,,['Psychological'],,,
