,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,Synonyms,German,Spanish,French,Theme,Genre,Demographics
239,ドラゴンクエスト　ユア・ストーリー,,['Movie'],1,Finished Airing,"Aug 2, 2019",,,"['Dentsu', 'Square Enix', 'Yomiuri Telecasting', 'TOHO', 'Nippon Television Network', 'Amuse', 'Shimogumi', 'GYAO!', 'KDDI', 'Sapporo Television Broadcasting', 'Miyagi Television Broadcasting', 'Shizuoka Daiichi Television', 'Chukyo TV Broadcasting', 'Hiroshima Television', 'Fukuoka Broadcasting System', 'LINE Corporation', 'Yomiuri Shimbun', 'Abe Shuuji Jimusho', 'Culture Entertainment']","None found,","['Shirogumi', 'Robot Communications']",Game,"['Action', 'Adventure', 'Fantasy']",,1 hr. 42 min.,PG-13 - Teens 13 or older,6.79,#5411,#5459,"17,081",41,10260,"Following in his father's footsteps, Luca must find the hero who wields the zenithian sword to save his mother from Ladja. Based on Dragon Quest V: Hand of the Heavenly Bride game's story. (Source: Apple TV)",[],Dragon Quest: Your Story,,,,,,,,
240,哪吒之魔童降世,Ne Zha,['Movie'],1,Finished Airing,"Jul 26, 2019",,,"['Horgos Coloroom Pictures Co., Ltd.']","None found,",['October Media'],Other,"['Action', 'Comedy', 'Drama', 'Fantasy']",,1 hr. 50 min.,PG-13 - Teens 13 or older,7.65,#1428,#5668,"15,439",64,6920,"From the heavenly object known as the Chaos Pearl, two elements are extracted: the Spirit Pearl and the Demon Orb. In an attempt to suppress their power, the Lord of Heaven sends the Spirit Pearl to Earth to reincarnate as Ne Zha, the third son of Li Jing, while the Demon Orb is scheduled to be destroyed by a lightning strike. However, because of a conspiracy by the Dragon King to steal the Spirit Pearl for his own son, Ne Zha is instead reincarnated with the Demon Orb. With no way to remove the cursed effects of the Demon Orb, Ne Zha is raised under the belief that he will become the great demon hunter the Spirit Pearl destined for him to be. Fighting against his chaotic and mischievous nature, Ne Zha must decide whether to accept his evil fate or rebel against it to prove he is worthy of the future his parents foretold. [Written by MAL Rewrite]","['Sequel (Movie) Nezha Zhi Mo Tong Nao Hai', '']",Nezha Zhi Mo Tong Jiang Shi,,"Nezha Zhi Motong Jiangshi, Nezha: The Devil's Birth",New Gods: Nezha Reborn,Nezha: El Renacer de un Dios,New Gods: Nezha Reborn,['Historical'],,
241,BanG Dream! FILM LIVE,,['Movie'],1,Finished Airing,"Sep 13, 2019",,,"['Ultra Super Pictures', 'Bushiroad', 'Tokyo MX', 'Good Smile Company', 'HoriPro International']",['Sentai Filmworks'],['SANZIGEN'],Mixed media,,,1 hr. 12 min.,PG-13 - Teens 13 or older,7.69,#1325,#5928,"13,820",41,5858,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (Movie) BanG Dream! Film Live 2nd Stage', '']",BanG Dream! Film Live,,,,,,['Music'],,
242,레드슈즈,Red Shoes and the Seven Dwarfs,['Movie'],1,Finished Airing,"Jul 25, 2019",,,['Locus Corporation'],"None found,","None found,",Original,"['Comedy', 'Romance']",,1 hr. 32 min.,G - All Ages,7.18,#3467,#13140,"1,355",8,618,"Princes who have been turned into Dwarfs seek the red shoes of a lady in order to break the spell, although it will not be easy. A parody with a twist.",[],Red Shoes,,"Ledeu Syujeu, Ledeusyujeu",,,,,,
243,"안녕, 티라노: 영원히, 함께","My TYRANO: Together, Forever",['Movie'],1,Finished Airing,"Aug 14, 2019",,,['Media Castle'],"None found,",['Tezuka Productions'],Picture book,,['Kids'],1 hr. 37 min.,G - All Ages,6.35,#7974,#13980,"1,079",1,165,"Two dinosaurs, differently unfit for life, a T-Rex who doesn't want to be a predator and a little pterodactyl who doesn't want to fly, begin a long and hard journey to reach a legendary valley called Paradise (Source: IMDB)",[],"Annyeong, Tyrano: Yeong-wonhi, Hamkke",,"Sayonara, Tyrano, Nihao Ba Wang Long, さよなら, ティラノ, 你好霸王龙",,,,['Anthropomorphic'],['Adventure'],
244,ゆめみのえ,Dreams into Drawing,['Movie'],1,Finished Airing,"Aug 23, 2019",,,"None found,","None found,","['Yamamura Animation, Inc.']",Novel,,,10 min.,PG - Children,6.18,#8973,#15366,724,0,215,"The painter Kuwagata Keisai lived over 200 years ago. He created 'Ways to Sketch', a series of picture books illustrating humans and animals, all richly expressed. One day he was sketching out a carp, just at that moment he slept and he became a carp in dream. A carp was enjoy to swimming, but a fisherman caught that carp... (Source: Yamamura Animation)",[],Yumemi no E,"['Historical', 'Visual Arts']",Yume Minoe,,,,,,
245,空中軍艦アトランティス,,['Movie'],1,Finished Airing,"Aug 24, 2019",,,['Gekiga Production'],"None found,","None found,",Original,,,18 min.,PG-13 - Teens 13 or older,6.00,#9927,#16388,573,0,181,"Set on a floating island called Atlantis, the story follows a captured girl named Luna and her would-be rescuer Cyan. Not everything is a simple as it appears thanks to a mysterious enemy and the robot Gekiga-go. (Source: Goboiano)",[],Kuuchuu Gunkan Atlantis,,"Aerial Battleship Atlantis, Atlantis the Aerial Warship",,,,['Mecha'],['Action'],
246,샤이닝스타: 새로운 루나퀸의 탄생!,Shining Star: The Birth of New Luna-Queen,['Movie'],1,Finished Airing,"Jul 18, 2019",,,"None found,","None found,",['Maro Studio'],Original,,,1 hr. 17 min.,PG - Children,[],#14260,#18209,405,0,,"The world's best idol school, Shining Star School! The debut class' trained trainee 'Hera' and the hard-trained trainee 'Nara' will audition to become the world's best idol star: 'Luna Queen'. Meanwhile, Hera suddenly withdraws from her group 'Dolls' and joins Nara forming a new team called 'New Melody'. However, talented headmistress Calliope is trying to separate New Melody and Hera by saying that she can win a solo championship when she goes to the final stage of Solo Luna Queen. The friendship of 'New Melody' is starting to shake... Can they protect both the title of Luna Queen and their friendship? (Source: Shining Star Wiki)",[],Shining Star: Saeroun Luna-Queen-ui Tansaeng!,"['Idols (Female)', 'Music', 'School']",,,,,,['Fantasy'],
247,,,['Movie'],1,Finished Airing,"Jul 23, 2019",,,['Geidai Animation'],"None found,","None found,",Original,,,3 min.,G - All Ages,5.53,#12021,#18699,366,0,166,"Self-replicating entities that have evolved on different planets merge and proliferate exponentially. In search of more energy sources, they consume other stars. (Source: YouTube)",[],AEON,,,,,,,['Avant Garde'],
248,THE DAWN OF APE,,['Movie'],1,Finished Airing,"Jul 27, 2019",,,"None found,","None found,","None found,",Original,,,3 min.,G - All Ages,5.48,#12166,#19845,293,0,131,"Here is the world's first animation made to be watched by chimpanzees. Just for this once, we will show it to you humans. (Source: Annecy International Animation Film Festival)",[],The Dawn of Ape,,,,,,,['Avant Garde'],
249,猪猪侠·不可思议的世界,GG Bond: Lollipop in Fantasy,['Movie'],1,Finished Airing,"Jul 5, 2019",,,"None found,","None found,","None found,",Original,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",['Kids'],1 hr. 25 min.,G - All Ages,[],#16358,#20246,272,0,,"A girl has loved GG Bond the little pig hero ever since she was a little child. For GG Bond is nothing more than a children's story. Her overbearing parents pressured her into academics well beyond that of sensibility. As she suffers depression she touches a drawn mural she did of GG Bond on her bedroom wall. It opens a portal and she teleports into GG Bond's world. The worlds start to blur, and things she draws on the wall appear within the other world. Eventually she gets trapped and they have to find a way to get her back home.",[],Zhu Zhu Xia: Bukesiyi de Shijie,,,,,,['Super Power'],,
250,大侦探福尔摩斯：逃狱大追捕,The Great Detective Sherlock Holmes: The Greatest Jail-Breaker,['Movie'],1,Finished Airing,"Jul 28, 2019",,,"None found,","None found,","None found,",Novel,"['Adventure', 'Mystery']",['Kids'],1 hr. 23 min.,G - All Ages,[],#17491,#21720,190,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Da Zhentan Fuermosi: Tao Yu Da Zhuibu,"['Detective', 'Historical']",Sherlock Holmes and the Great Escape,,,,,,
251,江南,Kiangnan 1894,['Movie'],1,Finished Airing,"Sep 27, 2019",,,"None found,","None found,","None found,",Original,,,1 hr. 25 min.,PG-13 - Teens 13 or older,[],#18965,#22858,141,0,,"Set in the late Qing Dynasty (1644-1911), the story revolves around a teenager named A'lang, who accidentally becomes an apprentice in the Jiangnan Manufacturing Factory before becoming a top military mechanic. (Source: IMDB)",[],Jiangnan,,,,,,['Historical'],['Drama'],
252,赛尔号大电影7：疯狂机器城,,['Movie'],1,Finished Airing,"Aug 2, 2019",,,"None found,","None found,","None found,",Game,,['Kids'],1 hr. 38 min.,PG - Children,[],#21490,#23206,130,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (Movie) Sai Er Hao Movie 6: Sheng Zhe Wudi', '']",Sai Er Hao Movie 7: Fengkuang Jiqi Cheng,,Seer Movie 7: Crazy Intelligence,,,,,['Adventure'],
253,十二生肖之福星高照朱小八,Lucky Star,['Movie'],1,Finished Airing,"Sep 13, 2019",,,"None found,","None found,","None found,",Unknown,,['Kids'],1 hr. 24 min.,PG - Children,[],#14164,#24299,105,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Shi Er Shengxiao: Fuxing Gao Zhao Zhu Xiao Ba,,,,,,['Anthropomorphic'],['Fantasy'],
254,반지의 비밀일기 극장판,Banzi's Secret Diary The Movie,['Movie'],1,Finished Airing,"Sep 11, 2019",,,"None found,","None found,","None found,",Unknown,"['Adventure', 'Comedy']",['Kids'],1 hr. 12 min.,PG - Children,[],#16813,#24473,102,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Banjiui Bimil-ilgi Movie,,,,,,,,
255,극장판 헬로카봇: 달나라를 구해줘!,Hello Carbot the Movie: Save the Moon,['Movie'],1,Finished Airing,"Sep 4, 2019",,,"None found,","None found,","None found,",Original,"['Action', 'Adventure']",['Kids'],1 hr. 16 min.,PG - Children,[],#18515,#24393,104,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Hello Carbot: Dalnalaleul Guhaejwo!,"['Mecha', 'Racing']",,,,,,,
256,疯狂梦幻城,Crazy and Dream City,['Movie'],1,Finished Airing,"Sep 21, 2019",,,"None found,","None found,","None found,",Original,"['Adventure', 'Fantasy']",['Kids'],1 hr. 18 min.,PG - Children,[],#17964,#25118,93,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Fengkuang Menghuan Cheng,,,,,,['Anthropomorphic'],,
257,Fate/Grand Order -絶対魔獣戦線バビロニア- Initium Iter,Fate/Grand Order: Absolute Demonic Front - Babylonia Initium Iter,['Special'],1,Finished Airing,"Aug 4, 2019",,,"['Aniplex', 'Notes', 'Delightworks']",['Aniplex of America'],['CloverWorks'],Game,"['Action', 'Fantasy']",,27 min.,PG-13 - Teens 13 or older,7.14,#3680,#2690,"73,491",64,41128,"The year 2010 AD. Romani Archaman has been posted to Chaldea. There, he becomes the primary doctor for a young girl. Mash Kyrielight, Chaldea's second successful summoning experiment, is interested in the word ""Senpai."" The interaction between the two gives Mash a reason to hope. That hope becomes a wave and starts to spread. That is your story, the story of a normal ""somebody."" The story at the beginning of a journey that weaves the future. (Source: AniplexUS)","['Sequel (TV) Fate/Grand Order: Zettai Majuu Sensen Babylonia', '']",Fate/Grand Order: Zettai Majuu Sensen Babylonia - Initium Iter,,Fate/Grand Order: Zettai Majuu Sensen Babylonia Episode 0,,,,,,
258,ダンジョンに出会いを求めるのは間違っているだろうか 過去と未来[パスト&フューチャー],Is It Wrong to Try to Pick Up Girls in a Dungeon? II: Past & Future,['TV Special'],1,Finished Airing,"Jul 6, 2019",,,"None found,",['Sentai Filmworks'],['J.C.Staff'],['Light novel'],"['Action', 'Adventure', 'Fantasy']",,24 min.,PG-13 - Teens 13 or older,6.88,#4957,#2993,"60,941",56,28843,Recap of the first season of Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka.,[],Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II: Past & Future,,"DanMachi Recap, Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II Episode 0",,,,,,
259,ありふれた職業で世界最強 総集編 オルクス大迷宮,Arifureta: Omnibus - The Great Orcus Labyrinth,['TV Special'],1,Finished Airing,"Aug 12, 2019",,,"None found,","None found,","['asread.', 'White Fox']",['Light novel'],"['Action', 'Adventure', 'Fantasy']",,23 min.,PG-13 - Teens 13 or older,6.18,#8927,#3792,"39,264",65,18765,Recap of the first five episodes of Arifureta Shokugyou de Sekai Saikyou.,[],Arifureta Shokugyou de Sekai Saikyou Recap,"['Harem', 'Isekai']",Arifureta: From Commonplace to World's Strongest Recap,,,,,,
260,みるタイツ コスプレ撮影 タイツ,Miru Tights: Cosplay Photoshoot Tights,['Special'],1,Finished Airing,"Aug 23, 2019",,,"None found,","None found,",['Yokohama Animation Laboratory'],Original,,,4 min.,PG-13 - Teens 13 or older,6.41,#7661,#4329,"29,670",39,15122,"In the lead-up to a photoshoot in which Yua Nakabeni and Ren Aikawa have been invited to model for an illustrator, the two girls are feeling anxious. To help them out, their friend and fellow classmate Homi Moegi decides to run a practice shoot in hopes of easing their nerves. Yua and Ren repeatedly tense up during shots on their own, so Homi asks them to pair up for some couple shots, hoping that they will relax in each other's company. What begins as a series of cute poses soon turns into an alluring collage of legs encased in black stockings layered over one another. [Written by MAL Rewrite]",[],Miru Tights: Cosplay Satsuei Tights,,Miru Tights Special,,,,['School'],['Ecchi'],
261,第12話 スーパー仙狐さんタイム,,['Special'],1,Finished Airing,"Sep 25, 2019",,,"None found,","None found,",['Doga Kobo'],['Web manga'],"['Comedy', 'Supernatural']",,1 min.,PG-13 - Teens 13 or older,7.03,#4251,#5940,"13,748",15,4519,"Unaired episode 12 of the special segment ""Super Senko-san Time"" included in the 3rd BD volume of Sewayaki Kitsune no Senko-san.",[],Super Senko-san Time Episode 12,,,,,,,,
262,コップクラフト 特別編: 美しき女騎士! とらわれの妖精を追え!,,['TV Special'],1,Finished Airing,"Sep 10, 2019",,,"None found,","None found,",['Millepensee'],['Light novel'],"['Action', 'Fantasy', 'Mystery', 'Sci-Fi']",,23 min.,R - 17+ (violence & profanity),5.85,#10671,#8230,"6,116",4,2583,Recap of the first four episodes of Cop Craft series from Tilarna's perspective.,[],Cop Craft: Utsukushiki Onna Kishi! Toraware no Yousei wo Oe!,"['Detective', 'Urban Fantasy']","Cop Craft Episode 9.5, Cop Craft Recap, Tokubetsu-hen: Utsukushiki Onna Kishi! Toraware no Yousei wo Oe!",,,,,,
263,「キャロル＆チューズデイ」特別編 ~ガスとロディの回想録~,,['TV Special'],1,Finished Airing,"Jul 4, 2019",,,"None found,","None found,",['Bones'],Original,"['Drama', 'Romance', 'Sci-Fi']",,22 min.,PG-13 - Teens 13 or older,6.60,#6473,#8685,"5,394",5,1660,Recap of the first 12 episodes of Carole & Tuesday.,[],Carole & Tuesday: Gus to Roddy no Kaisouroku,,"Carole & Tuesday Recap, Carole & Tuesday Episode 12.5",,,,['Music'],,
264,特別編「真実は並列世界の果てに～新たなる旅立ちへ～」,,['TV Special'],1,Finished Airing,"Jul 30, 2019",,,"None found,","None found,",['feel.'],Visual novel,"['Drama', 'Sci-Fi']",,23 min.,PG-13 - Teens 13 or older,6.35,#7993,#8865,"5,104",7,1397,Recap of the first half of Kono Yo no Hate de Koi wo Utau Shoujo YU-NO series.,[],Kono Yo no Hate de Koi wo Utau Shoujo YU-NO Recap,,,,,,['Time Travel'],,
