,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Spanish,French,Demographic,Genre,Theme,Demographics
156,"I Don't Have Many Friends: Add-on Disc, Boku wa Tomodachi ga Sukunai: Add-on Disc",僕は友達が少ない リレー小説は結末が半端ないL(゜□゜)」,Haganai: A Round-Robin Story's Ending Is Way Extreme,['OVA'],1,Finished Airing,"Sep 26, 2012",,,['AIC'],['Funimation'],['AIC Build'],['Light novel'],"['Comedy', 'Romance', 'Ecchi']","['Love Polygon', 'School']",24 min.,R+ - Mild Nudity,7.02,#4279,#1986,"117,651",51,65864,"When the Neighbor's Club struggles to find an activity to do, Kodaka Hasegawa suggests they pass the time by writing a round-robin story—a narrative where everyone takes turns writing a section. But as they begin the project, chaos ensues as every member writes the story according to their personal preferences while trying to outdo each other. At this rate, will the story ever reach a fitting conclusion? [Written by MAL Rewrite]","['Prequel (TV) Boku wa Tomodachi ga Sukunai', 'Sequel (TV) Boku wa Tomodachi ga Sukunai Next']",Boku wa Tomodachi ga Sukunai: Relay Shousetsu wa Ketsumatsu ga Hanpanai,,,,,,,
157,"Accel World OVA, Accel World: Reverberation, Accel World: Ginyoku no Kakusei, Accel World: Kasoku no Chouten",アクセル・ワールド EX,,['OVA'],2,Finished Airing,"Sep 13, 2012 to Jan 31, 2013",,,"None found,",['VIZ Media'],['Sunrise'],['Light novel'],"['Action', 'Romance', 'Sci-Fi']","['School', 'Video Game']",24 min. per ep.,PG-13 - Teens 13 or older,7.08,#3976,#1992,"117,172",100,60751,"Reverberation A mysterious avatar has hijacked the Umesato Junior High Local Network, trapping students and stripping them of their clothes and belongings. After learning that other schools are facing a similar problem, Kuroyukihime gathers Haruyuki Arita and the other members of Nega Nebulus—one of the Seven Great Legions—to solve the mystery. Vacation Haruyuki is due for a physical re-examination in two weeks. If he fails, he will not be allowed to participate in any more territory battles with Nega Nebulus. To ensure that their legion does not lose their ""Silver Crow,"" Chiyuri Kurashima takes it upon herself to help Haruyuki get into shape before his examination. [Written by MAL Rewrite]","['Prequel (TV) Accel World', '']",Accel World EX,,,,,,,
158,,ギルティクラウン ロストクリスマス an episode of port town,Guilty Crown: Lost Christmas,['OVA'],1,Finished Airing,"Jul 26, 2012",,,['Nitroplus'],"None found,",['Production I.G'],Original,"['Action', 'Drama', 'Sci-Fi']",,14 min.,R - 17+ (violence & profanity),6.87,#4974,#2209,"100,894",70,52693,"In 2029, Scrooge escapes from a research facility where he had been confined as an experimental subject. His body was remodeled by genetic manipulations and he uses his psychic power to kill the chasers. One day, he meets another experimental subject called Carol. When three psychic chasers hunt down the two, Carol asks Scrooge to use his right arm to extract a weapon from her body.","['Sequel (TV) Guilty Crown', '']",Guilty Crown: Lost Christmas - An Episode of Port Town,,,,,,['Super Power'],
159,,コードギアス 反逆のルルーシュ ナナリーinワンダーランド,Code Geass: Lelouch of the Rebellion - Nunnally in Wonderland,['OVA'],1,Finished Airing,"Jul 27, 2012",,,"None found,","None found,",['Sunrise'],Original,"['Comedy', 'Fantasy']",,28 min.,PG-13 - Teens 13 or older,6.46,#7347,#2692,"73,480",41,37190,"On a bright, peaceful day, siblings Nunnally and Lelouch Lamperouge take a moment to relax under a tree. When Nunnally asks him to tell her a story, Lelouch, who is unflinchingly resolute in doing his utmost for his sister, makes unique use of his Geass ability, breaking barriers to tell the most entertaining story he can. Awakening alone under the tree, the previously blind Nunnally finds that she can see again and immediately spots a strange rabbit that resembles Anya Alstreim, the Knight of Six. The sight of this rabbit sends Nunnally falling down a hole, leading her to a colorful wonderland. Narrated by Lelouch himself, Code Geass: Hangyaku no Lelouch - Nunnally in Wonderland follows the lost Nunnally as she searches for a way back home, meeting a slew of colorful, familiar characters along the way. [Written by MAL Rewrite]",[],Code Geass: Hangyaku no Lelouch - Nunnally in Wonderland,,,,,,['Parody'],
160,,謎の彼女X 謎の夏祭り,Mysterious Girlfriend X: A Mysterious Summer Festival,['OVA'],1,Finished Airing,"Aug 23, 2012",,,"None found,","None found,",['Hoods Entertainment'],['Manga'],"['Mystery', 'Romance', 'Ecchi']",,26 min.,PG-13 - Teens 13 or older,7.27,#2975,#3447,"46,645",99,25557,"OVA released with the 9th volume of the manga. The day when Tsubaki goes to the summer festival with Ueno, Oka, and Urabe.",[],Nazo no Kanojo X: Nazo no Natsu Matsuri,,,,['Seinen'],,,
161,Touhou Unofficial Doujin Anime: A Summer Day's Dream,東方二次創作同人アニメ 夢想夏郷,,['OVA'],Unknown,Currently Airing,"Dec 29, 2008 to ?",,,['Maikaze'],"None found,","None found,",Game,,,22 min.,PG-13 - Teens 13 or older,7.26,#3066,#3675,"41,774",226,12711,"In the hidden magical land of Gensokyo, shrine maiden Reimu Hakurei constantly makes sure that supernatural incidents involving mythical creatures known as youkai remain as infrequent as possible. As part of her shrine's traditions, she hosts an annual summer banquet that invites a variety of guests, ranging from humans to even the strongest of youkai. On the morning of the banquet, however, the shrine's donation box suddenly goes missing. Furthermore, there appears to be no trace of any theft whatsoever. As Reimu, her friend Marisa Kirisame, and news reporter Aya Shameimaru investigate the situation, they realize that others also have missing possessions. With each step closer to piecing the puzzle together, the group soon understands that this phenomenon is more than just simple thievery—an incident on par with Remilia Scarlet's mist or Yuyuko Saigyouji's youkai cherry blossom. [Written by MAL Rewrite]",[],Touhou Niji Sousaku Doujin Anime: Musou Kakyou,,,,,['Fantasy'],['Vampire'],
162,"Nogizaka Haruka no Himitsu 3, Haruka Nogizaka's Secret 3",乃木坂春香の秘密 ふぃな～れ♪,Haruka Nogizaka's Secret Finale,['OVA'],4,Finished Airing,"Aug 19, 2012 to Nov 28, 2012",,,"None found,","None found,",['Diomedéa'],['Light novel'],"['Comedy', 'Romance']","['Otaku Culture', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,7.32,#2741,#3849,"38,142",58,20679,"Yuuto and Haruka are looking forward to spending time together on a school trip. However, Shina finally works up the nerve to tell Yuuto she has feelings for him. This event drives a wedge between Haruka and Yuuto and forces them to confront how they feel. (Source: ANN)","['Prequel (TV) Nogizaka Haruka no Himitsu Purezza ♪', 'Adaptation (Manga) Nogizaka Haruka no Himitsu', 'Adaptation (Light Novel) Nogizaka Haruka no Himitsu', '']",Nogizaka Haruka no Himitsu Finale ♪,,,,,,,
163,"Shinryaku! Ika Musume OAD, The Invader Comes From the Bottom of the Sea! OVA, Shinryaku! Ika Musume OVA, Squid Girl OVA",侵略!!イカ娘,The Squid Girl OVA,['OVA'],3,Finished Airing,"Aug 8, 2012 to Sep 8, 2014",,,"['Lantis', 'Glovision']",['Sentai Filmworks'],['Diomedéa'],['Manga'],,,24 min. per ep.,PG-13 - Teens 13 or older,7.47,#2085,#4363,"29,254",17,14060,"Original anime DVD bundled with the 12th, 14th, and 17th volumes of the manga.","['Prequel (TV) Shinryaku!? Ika Musume', 'Adaptation (Manga) Shinryaku! Ika Musume']",Shinryaku!! Ika Musume,Squid Girl OVA,Shinryaku! Ika Musume Ovas,Shinryaku! Ika Musume OVA,['Shounen'],['Comedy'],['Anthropomorphic'],
164,"Bibliotheca Mystica de Dantalian: Ibarahime, Dantalian's Bookshelf: Ibarahime",ダンタリアンの書架 荊姫,The Mystic Archives of Dantalian: Ibarahime,['OVA'],1,Finished Airing,"Aug 9, 2012",,,"['TV Tokyo', 'Kadokawa Shoten', 'Kadokawa Pictures Japan', 'KlockWorx']",['Funimation'],['Gainax'],['Light novel'],"['Action', 'Mystery']","['Detective', 'Historical']",24 min.,PG-13 - Teens 13 or older,7.13,#3740,#4881,"22,592",12,11229,"""Huey"" Anthony Disward and Dalian trek to the land owned by Sergeant Callavos, where it is rumored that a Phantom Book may be located. With the help of a local herbalist named Thalia, the two reach a remote village and begin to confirm relevant information to their investigation. Although it has been reported that Callavos perished alongside his family in a gruesome fire six months prior, his daughter Florence has been sighted in a nearby forest—and is suspected of causing the blaze. To verify these allegations once and for all, Huey and Dalian travel to the lord's manor, only to uncover the truth behind a thorny past. [Written by MAL Rewrite]",[],Dantalian no Shoka: Ibarahime,,,,,,,
165,"Angelic White Magical Girls, Absolute Whiteness: Magical Girl",絶対純白♡魔法少女,,['OVA'],1,Finished Airing,"Aug 12, 2012",,,"['Active', 'Barnum Studio']","None found,",['Project No.9'],['Manga'],"['Action', 'Fantasy', 'Ecchi']","['Harem', 'Mahou Shoujo']",5 min.,R+ - Mild Nudity,5.32,#12636,#5091,"20,468",90,8538,"Doujinshi anime Blu-ray Disc offered at the Comic Market 82 event on August 2012. Kuramoto Erica, Nitta Yui, Suzuhara Misa and Sasaki Kotone are not your average school girls. They are in fact blessed with supernatural powers, which they use to defend the common people from alien creatures. (Source: TMDB)",[],Zettai Junpaku♡Mahou Shoujo,,,,,,,
166,"Otome wa Boku ni Koishiteru 2, Otoboku 2, Otome wa Onee-sama ni Koishiteru, The Maiden is Falling in Love With the Elder Sister",乙女はお姉さまに恋してる ～2人のエルダー～ THE ANIMATION,,['OVA'],3,Finished Airing,"Jul 30, 2012 to Oct 1, 2012",,,"None found,","None found,",['SILVER LINK.'],Visual novel,"['Drama', 'Romance']","['Crossdressing', 'School']",25 min. per ep.,PG-13 - Teens 13 or older,6.77,#5519,#5325,"18,350",34,6733,"Two years after Mizuho's graduation... Mikado Chihaya was truant at his school because of harassment in the school and of a distrust in men. His mother cannot bear to watch him be in trouble, so she makes him transfer to Seiou Girls' School, her old school. He dresses as a girl and introduces himself as Kisakinomiya Chihaya. Chihaya meets Nanahara Kaoruko, who once rescued him from a playboy, and he begins to live in the dormitory building. He becomes the focus of public attention due to his attractive face and figure, and due to high grades at studies. (Source: Wikipedia)","['Prequel (TV) Otome wa Boku ni Koishiteru', 'Sequel (OVA) Otome wa Boku ni Koishiteru: Trinkle Stars The Animation', 'Adaptation (Manga) Otome wa Boku ni Koishiteru: Futari no Elder', '']",Otome wa Boku ni Koishiteru: Futari no Elder The Animation,,,,,,,
167,,わんおふ -one off-,,['OVA'],4,Finished Airing,"Aug 5, 2012 to Oct 7, 2012",,,"['Dentsu', 'TYO']","None found,",['TYO Animations'],Original,,"['CGDCT', 'Iyashikei']",15 min. per ep.,PG-13 - Teens 13 or older,6.40,#7677,#5379,"17,755",19,6503,"High school student Haruno Shiozaki and her friends live in a remote mountain town where the only thing worth looking forward to is turning 16 years old—the legal age required to obtain a motorcycle license. However, when Haruno's family hires Cynthia B. Rogers to work at their inn during the peak season, excitement buzzes around the new visitor. As Haruno's friends are charmed by the foreigner's loud and brassy attitude, Haruno wonders whether people from a town as small as theirs are able to have dreams too. [Written by MAL Rewrite]","['Adaptation (Manga) One Off', '']",One Off,,,,,['Slice of Life'],,
168,,Brandish,,['OVA'],2,Finished Airing,"Jun 22, 2012 to Aug 24, 2012",,,['Mary Jane'],"None found,",['Studio Eromatick'],['Manga'],"['Fantasy', 'Hentai']",,16 min. per ep.,Rx - Hentai,6.65,N/A,#5397,"17,609",81,7624,"Twiska enjoys visiting local towns and draining the villagers of their cum. Everything is going along well until she encounters Theo, the legendary Hero destined to defeat her. Theo is a cute shouta and addictively good at sex. Now Twiska isn't sure anymore whether she wants to kill him or keep him for herself.","['Adaptation (Manga) Brandish', '']",Brandish,,,,,,,
169,Witch of Steel: Annerose,鋼鉄の魔女 アンネローゼ,,['OVA'],4,Finished Airing,"Jul 27, 2012 to Nov 21, 2014",,,['ZIZ Entertainment (ZIZ)'],"None found,",['Oz Inc.'],Visual novel,"['Action', 'Supernatural', 'Hentai']",,24 min. per ep.,Rx - Hentai,6.77,N/A,#5591,"16,025",143,6049,"Amidahara is a twisted city, well beyond the reaches of any salvation. Here, humans, demons, and criminals walk the streets with the mighty witch Annerose being one of the most feared and respected of the city's denizens. As part of her abilities, she was able to form a binding spell with a human male, keeping him as her undead servant. This man, Rikurou Tachibana, was about to end up sold to slavers, but instead, he wound up in the eternal service of Annerose—something her other servent, Mitico didn't take too kindly to. Rikurou doesn't know what's worse, Mitico being able to chop him up into tiny pieces, only to be resurrected, or having to deal with the intense sexual frustration of living with Annerose. Both of these problems get set aside, however, when Annerose and her servants take on a case involving a girl named Miki and her missing brother. The events of Koutetsu no Majo Annerose will lead the unlikely heroine into the workings of the Kuurou Group and their leader Lee Mayfeng, a sworn enemy from Annerose's past. Mayfeng's contempt for Annerose is deep enough to plunge into the depths of sexual depravity and she's willing to do anything to humiliate and ruin her. The danger only grows from there as yet another malevolent force is at work, one that goes well beyond threatening Amidahara and aims to bring about ruin to the entire world.",[],Koutetsu no Majo Annerose,,,,,,,
170,,パパラブ パパとイチャエロしたい娘達と一つ屋根の下で,,['OVA'],2,Finished Airing,"Jul 27, 2012 to Jan 25, 2013",,,"None found,","None found,",['PoRO'],Visual novel,,,30 min. per ep.,Rx - Hentai,6.76,N/A,#5810,"14,562",65,5802,"Based on the erotic game by Blue Gale. Ayame has been acting strange of late. Apparently, that person, whom she calls Papa, has been on her mind. Burned into her mind is the scene of her Papa gripping Hyouka's panties. Knowing full well that Papa is lonely, she stumbles upon an ingenious, if dangerous, idea: ""I wonder if I can be Mom's replacement?"" (Source: AniDB)",[],Papa Love: Papa to Icha Ero Shitai Musume-tachi to Hitotsu Yane no Shita de,,,,,['Hentai'],,
171,"Recorder and Randsell, Recorder and Backpack, Recorder and Satchel, Recorder to Ransel",リコーダーとランドセル,,['OVA'],2,Finished Airing,"Jul 17, 2012",,,['Takeshobo'],"None found,",['Seven'],['4-koma manga'],"['Comedy', 'Slice of Life']",,3 min. per ep.,PG-13 - Teens 13 or older,6.71,#5865,#5906,"13,925",1,7514,Unaired episodes bundled with the special edition of volume 4 of the original manga.,"['Prequel (TV) Recorder to Randoseru Re♪', 'Sequel (TV) Recorder to Randoseru Mi☆', 'Adaptation (Manga) Recorder to Randoseru', '']",Recorder to Randoseru,,,,['Seinen'],,['School'],
172,,らぶ2Quad,,['OVA'],3,Finished Airing,"Aug 31, 2012 to Jun 30, 2017",,,"None found,","None found,",['PoRO'],Visual novel,,,24 min. per ep.,Rx - Hentai,6.71,N/A,#5956,"13,631",36,5120,"One day, the most popular teacher at Akakura Gakuen, Aoi-sensei, approached Wataru and informed him that his help is needed and he must take off his clothes immediately. She was an agent of the secret international defence organization Cradle and asked him to aid in the battle against the enemy ""4D"". In order to defeat ""4D"", he must engage in ecchi activities to gain energy and defeat the enemy with the power of love! His imouto-like osananajimi Honoka, classmate Ermalit, expressionless Mirai from the future and chibi Chitose from the past lend their help. However, they aren’t sure what to do!? And so marked the end of his peaceful single life. (Source: VNDB)",[],Love 2 Quad,,,,,['Hentai'],,
173,My Sister: Little-Devil with an A-Cup,My妹～小悪魔なAカップ～,,['OVA'],2,Finished Airing,"Jul 6, 2012 to Sep 28, 2012",,,"['Mary Jane', 'Studio 1st']","None found,",['Lyrics'],['Light novel'],,,15 min. per ep.,Rx - Hentai,6.61,N/A,#6155,"12,528",40,5251,"Once again, the peaceful morning is shattered by a diatribe delivered by a sister to her brother. This is a daily occurrence at the Utsumi household, and the fact that his relationship with his step-sister, Miyu, isn't improving is a cause of anguish for Mitsuru. While she may behave like an angel in the presence of their parents, when they are alone, she's a pure devil. One day, Mitsuru discovers that Miyu has a complex regarding her bust-size. He unwisely brings it up and she blows up at him. While attempting to restrain the raging Miyu, the two lose their balance and fall. Staring into Miyu's face up close, Mitsuru finds himself drawn by her cute features, the warmth of her body, the peculiar scent of a young girl... (Source: translated and adapted from official site by Cranston)","['Adaptation (Light Novel) My Imouto: Koakuma na A-Cup', '']",My Imouto: Koakuma na A-Cup,,,,,['Hentai'],,
